city_slug	city_label	city_ancient_primary	city_modern_primary	country_modern_primary	lat	lon	location_precision	christianity_start_year	christianity_end_year
flavia-neapolis-nablus	Flavia Neapolis	Flavia Neapolis	Nablus	Palestinian Territories	32.22140	35.25440	approx_city	100	
gadara-umm-qays	Gadara	Gadara	Umm Qays	Jordan	32.65500	35.68200	approx_city	28	
gangra-cank-r	Gangra	Gangra	Çankırı	Türkiye	40.60130	33.61340	approx_city	250	
gaza-gaza	Gaza	Gaza	Gaza	Palestinian Territories	31.50000	34.46670	approx_city	40	
gerasa-jerash	Gerasa	Gerasa	Jerash	Jordan	32.27280	35.89560	approx_city	200	
gortyna-gortyna	Gortyna	Gortyna	Gortyna	Greece	35.06440	24.94300	approx_city	57	
heliopolis-baalbek	Heliopolis	Heliopolis	Baalbek	Lebanon	34.00090	36.21100	approx_city	250	
hierapolis-pamukkale	Hierapolis	Hierapolis	Pamukkale	Türkiye	37.92500	29.12500	approx_city	60	
hippo-regius-annaba	Hippo Regius	Hippo Regius	Annaba	Algeria	36.90000	7.76670	approx_city	180	
hispalis-seville	Hispalis	Hispalis	Seville	Spain	37.38910	-5.98450	approx_city	200	
iconium-konya	Iconium	Iconium	Konya	Türkiye	37.86670	32.48330	approx_city	47	
jerusalem-jerusalem	Jerusalem	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	30	
joppa-jaffa-tel-aviv-yafo	Joppa	Joppa	Jaffa (Tel Aviv-Yafo)	Israel	32.05780	34.75240	approx_city	36	
laodicea-denizli-area	Laodicea	Laodicea	Denizli area	Türkiye	37.83330	29.11670	approx_city	60	
laodicea-ad-mare-latakia	Laodicea ad Mare	Laodicea ad Mare	Latakia	Syria	35.53170	35.79170	approx_city	100	
leptis-magna-leptis-magna-near-al-khums	Leptis Magna	Leptis Magna	Leptis Magna (near Al Khums)	Libya	32.63890	14.28170	approx_city	200	
londinium-london	Londinium	Londinium	London	UK	51.50740	-0.12780	approx_city	200	
lugdunum-lyon	Lugdunum	Lugdunum	Lyon	France	45.74850	4.84670	exact	177	
lystra-hatunsaray	Lystra	Lystra	Hatunsaray	Türkiye	37.98330	32.53330	approx_city	47	
malabar-coast-india-kerala-region	Malabar Coast (India)	Malabar Coast (India)	Kerala region	India	10.85050	76.27110	region_only	300	
malta-valletta-area	Malta	Malta	Valletta area	Malta	35.89720	14.51220	approx_city	60	
massilia-marseille	Massilia	Massilia	Marseille	France	43.29650	5.36980	approx_city	180	
mediolanum-milan	Mediolanum	Mediolanum	Milan	Italy	45.46540	9.18660	approx_city	100	
memphis-mit-rahina-near-cairo	Memphis	Memphis	Mit Rahina (near Cairo)	Egypt	29.84740	31.25640	approx_city	50	
miletus-milet	Miletus	Miletus	Milet	Türkiye	37.52280	27.27660	approx_city	57	
mtskheta-mtskheta	Mtskheta	Mtskheta	Mtskheta	Georgia	41.84470	44.72090	approx_city	330	
myra-demre	Myra	Myra	Demre	Türkiye	36.24400	29.98400	approx_city	50	
naissus-nis	Naissus	Naissus	Niš	Serbia	43.32090	21.89580	approx_city	200	
narbo-narbonne	Narbo	Narbo	Narbonne	France	43.18390	3.00270	approx_city	200	
nazareth-nazareth	Nazareth	Nazareth	Nazareth	Israel	32.69960	35.29500	approx_city	28	
nazianzus-bekarlar-near-guzelyurt	Nazianzus	Nazianzus	Bekarlar (near Güzelyurt)	Türkiye	38.19810	34.39080	approx_city	280	
neapolis-naples	Neapolis	Neapolis	Naples	Italy	40.85180	14.26810	approx_city	100	
neocaesarea-niksar	Neocaesarea	Neocaesarea	Niksar	Türkiye	40.59130	36.96000	approx_city	100	
nicaea-iznik	Nicaea	Nicaea	Iznik	Türkiye	40.42890	29.72140	approx_city	110	
nicomedia-izmit	Nicomedia	Nicomedia	Izmit	Türkiye	40.76499	29.92928	exact	110	
nicopolis-nicopolis-preveza-area	Nicopolis	Nicopolis	Nicopolis (Preveza area)	Greece	38.96670	20.75000	approx_city	60	
nisibis-nusaybin	Nisibis	Nisibis	Nusaybin	Türkiye	37.06080	41.21750	approx_city	150	
ostia-ostia-antica	Ostia	Ostia	Ostia Antica	Italy	41.75660	12.28560	approx_city	100	
oxyrhynchus-el-bahnasa	Oxyrhynchus	Oxyrhynchus	El Bahnasa	Egypt	28.53900	30.66660	approx_city	200	
palmyra-tadmur	Palmyra	Palmyra	Tadmur	Syria	34.55190	38.26630	approx_city	200	
paphos-paphos	Paphos	Paphos	Paphos	Cyprus	34.77570	32.42430	approx_city	47	
patmos-patmos	Patmos	Patmos	Patmos	Greece	37.32080	26.54870	approx_city	95	
pella-pella-tabaqat-fahl	Pella	Pella	Pella (Tabaqat Fahl)	Jordan	32.45190	35.61810	approx_city	66	
pepuza-near-usak-exact-location-debated	Pepuza	Pepuza	near Uşak (exact location debated)	Türkiye	38.67800	29.40600	approx_city	156	
perga-aksu	Perga	Perga	Aksu	Türkiye	36.96130	30.85080	approx_city	47	
pergamon-bergama	Pergamon	Pergamon	Bergama	Türkiye	39.13200	27.18390	exact	60	
petra-petra	Petra	Petra	Petra	Jordan	30.32850	35.44440	approx_city	200	
philadelphia-alasehir	Philadelphia	Philadelphia	Alaşehir	Türkiye	38.35240	28.50670	approx_city	60	
philadelphia-arabia-amman	Philadelphia (Arabia)	Philadelphia (Arabia)	Amman	Jordan	31.95220	35.93300	approx_city	100	
philippi-filippoi	Philippi	Philippi	Filippoi	Greece	41.01389	24.28222	exact	49	
philippopolis-plovdiv	Philippopolis	Philippopolis	Plovdiv	Bulgaria	42.13540	24.74530	approx_city	200	
pisidian-antioch-yalvac	Pisidian Antioch	Pisidian Antioch	Yalvac	Türkiye	38.12000	31.55440	approx_city	47	
ptolemais-akko	Ptolemais	Ptolemais	Akko	Israel	32.92620	35.06930	approx_city	50	
puteoli-pozzuoli	Puteoli	Puteoli	Pozzuoli	Italy	40.81970	14.12070	approx_city	60	
ravenna-ravenna	Ravenna	Ravenna	Ravenna	Italy	44.41840	12.20350	approx_city	200	
rhegium-reggio-calabria	Rhegium	Rhegium	Reggio Calabria	Italy	38.11030	15.64790	approx_city	60	
rome-rome	Rome	Rome	Rome	Italy	41.89551	12.48230	exact	42	
salona-solin-near-split	Salona	Salona	Solin (near Split)	Croatia	43.54000	16.49000	approx_city	100	
samaria-sebastia	Samaria	Samaria	Sebastia	Israel	32.2767	35.1884	approx_city	36	
samaria-sebastiyah	Samaria	Samaria	Sebastiyah	Palestinian Territories	32.26970	35.19140	approx_city	36	
samosata-samsat-submerged	Samosata	Samosata	Samsat (submerged)	Türkiye	37.58530	38.52810	approx_city	100	
sardis-sart	Sardis	Sardis	Sart	Türkiye	38.48800	28.03160	approx_city	60	
scythopolis-bet-shean	Scythopolis	Scythopolis	Bet She'an	Israel	32.50260	35.50120	approx_city	100	
sebaste-sivas	Sebaste	Sebaste	Sivas	Türkiye	39.74770	37.01790	approx_city	300	
seleucia-pieria-cevlik	Seleucia Pieria	Seleucia Pieria	Çevlik	Türkiye	36.11670	35.93330	approx_city	47	
seleucia-ctesiphon-al-madain	Seleucia-Ctesiphon	Seleucia-Ctesiphon	Al-Madain	Iraq	33.09560	44.57590	approx_city	100	
serdica-sofia	Serdica	Serdica	Sofia	Bulgaria	42.69770	23.32190	approx_city	200	
sidon-sidon-saida	Sidon	Sidon	Sidon (Saida)	Lebanon	33.56340	35.37060	approx_city	60	
sinope-sinop	Sinope	Sinope	Sinop	Türkiye	42.02310	35.15340	approx_city	100	
sirmium-sremska-mitrovica	Sirmium	Sirmium	Sremska Mitrovica	Serbia	44.96670	19.61670	approx_city	200	
smyrna-izmir	Smyrna	Smyrna	Izmir	Türkiye	38.41270	27.13840	exact	55	
syracuse-syracuse	Syracuse	Syracuse	Syracuse	Italy	37.07510	15.28660	approx_city	60	
tarraco-tarragona	Tarraco	Tarraco	Tarragona	Spain	41.11890	1.24450	approx_city	180	
tarsus-tarsus	Tarsus	Tarsus	Tarsus	Türkiye	36.91670	34.88330	approx_city	40	
thebes-luxor	Thebes	Thebes	Luxor	Egypt	25.68720	32.63960	approx_city	250	
thessalonica-thessaloniki	Thessalonica	Thessalonica	Thessaloniki	Greece	40.64010	22.94440	exact	49	
thyatira-akhisar	Thyatira	Thyatira	Akhisar	Türkiye	38.91840	27.83590	exact	55	
tiberias-tiberias	Tiberias	Tiberias	Tiberias	Israel	32.79560	35.53030	approx_city	100	
tolosa-toulouse	Tolosa	Tolosa	Toulouse	France	43.60470	1.44420	approx_city	200	
tomis-constanta	Tomis	Tomis	Constanta	Romania	44.15980	28.63480	approx_city	200	
trapezus-trabzon	Trapezus	Trapezus	Trabzon	Türkiye	41.00150	39.71780	approx_city	100	
troas-alexandria-troas	Troas	Troas	Alexandria Troas	Türkiye	39.78330	26.08330	approx_city	50	
tyre-tyre-sur	Tyre	Tyre	Tyre (Sur)	Lebanon	33.2741	35.1949	exact	50	
vagharshapat-vagharshapat-etchmiadzin	Vagharshapat	Vagharshapat	Vagharshapat (Etchmiadzin)	Armenia	40.16500	44.29210	approx_city	301	
valentia-valencia	Valentia	Valentia	Valencia	Spain	39.46990	-0.37630	approx_city	200	
vienne-vienne	Vienne	Vienne	Vienne	France	45.52390	4.87470	approx_city	170	
