id	source_type	source_id	relationship	target_type	target_id	decade_start	decade_end	weight	notes	citations
e023	work	justin-first-apology	affirms	doctrine	logos-christology	150		5	Justin develops Logos theology identifying Christ with divine Reason.	https://www.newadvent.org/fathers/0126.htm
e024	work	justin-first-apology	affirms	doctrine	baptismal-regeneration	150		4	First Apology 61 describes baptism as regenerative washing.	https://www.newadvent.org/fathers/0126.htm
e025	person	origen-of-alexandria	disciple_of	person	clement-of-alexandria	200	210	4	Origen studied under Clement at the Catechetical School of Alexandria.	https://www.newadvent.org/fathers/0412.htm
e026	person	origen-of-alexandria	authored	work	origen-de-principiis	220	230	5	Written in Alexandria; first systematic theology.	https://www.newadvent.org/fathers/0412.htm
e027	person	origen-of-alexandria	active_in	city	0200-alexandria-alexandria	200	230	5	Head of Catechetical School of Alexandria.	https://en.wikipedia.org/wiki/Origen
e028	person	tertullian	active_in	city	0200-carthage-tunis	195	220	5	Active in Carthage as a prolific Latin writer.	https://en.wikipedia.org/wiki/Tertullian
e029	person	tertullian	authored	work	tertullian-prescription	200	200	5	Written in Carthage.	https://www.newadvent.org/fathers/0311.htm
e030	work	tertullian-prescription	affirms	doctrine	trinity	200		4	Develops Trinitarian language and terminology.	https://www.newadvent.org/fathers/0317.htm
e031	person	athanasius-of-alexandria	bishop_of	city	0320-alexandria-alexandria	328	373	5	Bishop of Alexandria for 45 years despite five exiles.	https://en.wikipedia.org/wiki/Athanasius_of_Alexandria
e032	person	athanasius-of-alexandria	attended	event	council-of-nicaea-325	320	330	5	Attended Nicaea as deacon and theological advisor to Alexander.	https://www.newadvent.org/fathers/2806.htm
e033	person	athanasius-of-alexandria	authored	work	athanasius-on-incarnation	310	320	5	Written before Nicaea while a deacon.	https://www.newadvent.org/fathers/2802.htm
e034	work	athanasius-on-incarnation	affirms	doctrine	logos-christology	310		5	Classic statement of the Incarnation and theosis.	https://www.newadvent.org/fathers/2802.htm
e035	person	eusebius-of-caesarea	authored	work	eusebius-ecclesiastical-history	310	325	5	Written in Caesarea; primary source for early church history.	https://www.newadvent.org/fathers/2501.htm
e036	person	eusebius-of-caesarea	attended	event	council-of-nicaea-325	320	330	4	Attended Nicaea and presented a creed that influenced the final text.	https://www.newadvent.org/fathers/2501.htm
e037	event	apostolic-council-jerusalem-49	held_in	city	0040-jerusalem-jerusalem	40	50	5	The council was held in Jerusalem per Acts 15.	https://biblehub.com/acts/15.htm
e038	person	paul-of-tarsus	attended	event	apostolic-council-jerusalem-49	40	50	5	Paul's argument for Gentile freedom is the central narrative of Acts 15.	https://biblehub.com/acts/15.htm
e039	person	james-the-just	led	event	apostolic-council-jerusalem-49	40	50	5	James presided and delivered the final judgment.	https://biblehub.com/acts/15.htm
e040	person	peter-the-apostle	attended	event	apostolic-council-jerusalem-49	40	50	5	Peter spoke in favor of Gentile inclusion.	https://biblehub.com/acts/15.htm
e041	event	council-of-nicaea-325	held_in	city	0320-nicaea-iznik	320	330	5	Council held at Nicaea (modern Iznik) in Bithynia.	https://www.britannica.com/event/First-Council-of-Nicaea-325
e042	event	council-of-nicaea-325	defined	doctrine	homoousios	320	330	5	Defined the Son as homoousios with the Father.	https://www.britannica.com/event/First-Council-of-Nicaea-325
e043	person	constantine-i	led	event	council-of-nicaea-325	320	330	5	Constantine convened and presided over the council.	https://www.britannica.com/biography/Constantine-I-Roman-emperor
e044	person	constantine-i	led	event	edict-of-milan-313	310	320	5	Constantine co-issued the Edict of Milan with Licinius.	https://www.britannica.com/topic/Edict-of-Milan
e045	archaeology	dura-europos-house-church	located_in	city	null	230	256	5	Dura-Europos; no city record in final.tsv.	https://en.wikipedia.org/wiki/Dura-Europos_church
e046	archaeology	holy-sepulchre-jerusalem	located_in	city	0320-jerusalem-jerusalem	330		5	Located in Jerusalem.	https://en.wikipedia.org/wiki/Church_of_the_Holy_Sepulchre
e047	archaeology	catacombs-saint-callixtus	located_in	city	0200-rome-rome	200	450	5	Located on the Appian Way in Rome.	https://en.wikipedia.org/wiki/Catacomb_of_Callixtus
e048	person	peter-the-apostle	bishop_of	city	0040-antioch-antakya	40	60	4	Tradition holds Peter as first bishop of Antioch before going to Rome.	https://www.newadvent.org/fathers/250103.htm
e049	person	peter-the-apostle	bishop_of	city	0060-rome-rome	60	64	4	Tradition holds Peter as first bishop of Rome.	https://www.newadvent.org/fathers/250102.htm
e050	person	paul-of-tarsus	visited	city	0050-antioch-antakya	40	60	5	Antioch was Paul's base for missionary journeys.	https://biblehub.com/acts/13.htm
e051	person	paul-of-tarsus	visited	city	0050-corinth-korinthos	50	60	5	Paul founded the church at Corinth c.50 AD.	https://biblehub.com/acts/18.htm
e052	person	paul-of-tarsus	visited	city	0050-ephesus-selcuk	50	60	5	Paul was active in Ephesus for ~3 years.	https://biblehub.com/acts/19.htm
e053	person	paul-of-tarsus	visited	city	0060-rome-rome	60	64	5	Paul arrived in Rome c.60 AD and was later martyred there.	https://biblehub.com/acts/28.htm
e054	work	didache	affirms	doctrine	eucharistic-sacrifice	80		5	Didache 14.1 uses thusia for the Sunday Eucharist.	https://www.newadvent.org/fathers/0714.htm
e055	work	didache	affirms	doctrine	baptismal-regeneration	80		4	Didache 7 describes baptismal rite in detail.	https://www.newadvent.org/fathers/0714.htm
e056	person	augustine-of-hippo	authored	work	augustine-confessions	390	400	5	Written in Hippo Regius.	https://www.newadvent.org/fathers/1101.htm
e057	person	augustine-of-hippo	authored	work	augustine-city-of-god	410	426	5	Written after the sack of Rome.	https://www.newadvent.org/fathers/1201.htm
e058	work	augustine-confessions	affirms	doctrine	original-sin	390		5	Foundational text for Augustine's doctrine of grace and original sin.	https://www.newadvent.org/fathers/1101.htm
e059	person	augustine-of-hippo	bishop_of	city	0390-hippo-regius-annaba	395	430	5	Bishop of Hippo from 395 until death.	https://en.wikipedia.org/wiki/Augustine_of_Hippo
e060	person	cyprian-of-carthage	bishop_of	city	0240-carthage-tunis	249	258	5	Bishop of Carthage through the Decian persecution.	https://en.wikipedia.org/wiki/Cyprian
e061	person	cyprian-of-carthage	martyred_at	event	persecution-of-decius	250	260	3	Cyprian was exiled during Decius; later martyred under Valerian in 258.	https://en.wikipedia.org/wiki/Cyprian
e062	person	john-chrysostom	bishop_of	city	0390-constantinople-istanbul	398	407	5	Archbishop of Constantinople 398-407.	https://en.wikipedia.org/wiki/John_Chrysostom
e063	person	basil-of-caesarea	bishop_of	city	0370-caesarea-cappadocia-kayseri	370	379	5	Bishop of Caesarea in Cappadocia.	https://en.wikipedia.org/wiki/Basil_of_Caesarea
e064	person	basil-of-caesarea	corresponded_with	person	athanasius-of-alexandria	360	373	3	Exchanged letters on Trinitarian and ecclesial matters.	https://www.newadvent.org/fathers/3203.htm
e065	event	martyrdom-of-polycarp-155	occurred_in	city	0150-smyrna-izmir	150	160	5	Polycarp was martyred in the stadium at Smyrna.	https://www.newadvent.org/fathers/0102.htm
e066	event	martyrdom-of-ignatius-107	occurred_in	city	0100-rome-rome	100	110	5	Ignatius was martyred in Rome.	https://www.newadvent.org/fathers/0109.htm
e067	person	ignatius-of-antioch	martyred_at	event	martyrdom-of-ignatius-107	100	110	5	Ignatius was the martyr at this event.	https://www.newadvent.org/fathers/0109.htm
e068	person	polycarp-of-smyrna	martyred_at	event	martyrdom-of-polycarp-155	150	160	5	Polycarp was the martyr at this event.	https://www.newadvent.org/fathers/0102.htm
e069	event	council-of-nicaea-325	affirmed	doctrine	trinity	320	330	5	The Nicene Creed defines Trinitarian faith.	https://www.britannica.com/event/First-Council-of-Nicaea-325
e070	person	clement-of-alexandria	active_in	city	0180-alexandria-alexandria	180	202	4	Head of the Catechetical School of Alexandria.	https://en.wikipedia.org/wiki/Clement_of_Alexandria
e071	person	polycarp-of-smyrna	disciple_of	person	john-the-apostle	80	100	5	Irenaeus records Polycarp was appointed by apostles; tradition links him to John.	https://www.newadvent.org/fathers/0103.htm
e072	person	john-the-apostle	active_in	city	0070-ephesus-selcuk	70	100	5	Tradition places John in Ephesus in his later years.	https://en.wikipedia.org/wiki/John_the_Apostle
e073	person	ignatius-of-antioch	corresponded_with	person	polycarp-of-smyrna	100	110	4	Ignatius wrote a personal letter to Polycarp from the road to Rome.	https://www.newadvent.org/fathers/0109.htm
e074	person	paul-of-tarsus	corresponded_with	person	timothy	50	64	5	Paul wrote two epistles to Timothy and mentored him closely.	https://biblehub.com/1_timothy/1-2.htm
e075	person	paul-of-tarsus	corresponded_with	person	titus-of-crete	50	64	4	Paul wrote the Epistle to Titus and sent him as envoy.	https://biblehub.com/titus/1-4.htm
e076	person	paul-of-tarsus	visited	city	0050-thessalonica-thessaloniki	50	60	4	Paul founded the church at Thessalonica c.50 AD.	https://biblehub.com/acts/17.htm
e077	person	paul-of-tarsus	visited	city	0050-philippi-kavala	50	60	4	Paul founded the church at Philippi c.49 AD.	https://biblehub.com/acts/16.htm
e078	person	paul-of-tarsus	visited	city	0060-crete-heraklion	60	64	3	Paul visited Crete and left Titus there.	https://biblehub.com/titus/1-5.htm
e079	person	athanasius-of-alexandria	corresponded_with	person	basil-of-caesarea	350	373	4	Exchanged letters on Trinitarian and ecclesial matters.	https://www.newadvent.org/fathers/3203.htm
e080	person	basil-of-caesarea	corresponded_with	person	gregory-of-nazianzus	350	379	5	Lifelong friends from student days in Athens; extensive correspondence.	https://www.newadvent.org/fathers/3102.htm
e081	person	basil-of-caesarea	corresponded_with	person	gregory-of-nyssa	350	379	5	Brothers who collaborated on Cappadocian theology.	https://en.wikipedia.org/wiki/Cappadocian_Fathers
e082	person	jerome	active_in	city	0380-rome-rome	382	385	4	Jerome served as secretary to Pope Damasus I in Rome.	https://en.wikipedia.org/wiki/Jerome
e083	person	jerome	active_in	city	0380-bethlehem-bethlehem	386	420	5	Jerome settled in Bethlehem where he translated the Vulgate.	https://en.wikipedia.org/wiki/Jerome
e084	person	augustine-of-hippo	corresponded_with	person	jerome	395	420	4	Exchanged letters on Scripture, grace, and translation.	https://www.newadvent.org/fathers/1102.htm
e085	person	ambrose-of-milan	bishop_of	city	0370-mediolanum-milan	374	397	5	Bishop of Milan from 374 until death.	https://en.wikipedia.org/wiki/Ambrose
e086	person	augustine-of-hippo	disciple_of	person	ambrose-of-milan	386	397	5	Ambrose baptized Augustine at Easter 387; key influence on his conversion.	https://www.newadvent.org/fathers/110109.htm
e087	person	john-chrysostom	active_in	city	0380-antioch-antakya	386	397	5	Chrysostom preached in Antioch for 12 years before becoming archbishop.	https://en.wikipedia.org/wiki/John_Chrysostom
e088	person	gregory-of-nazianzus	bishop_of	city	0380-constantinople-istanbul	379	381	4	Briefly presided over Council of Constantinople before resigning.	https://en.wikipedia.org/wiki/Gregory_of_Nazianzus
e089	person	cyril-of-alexandria	bishop_of	city	0410-alexandria-alexandria	412	444	5	Patriarch of Alexandria; led condemnation of Nestorius.	https://en.wikipedia.org/wiki/Cyril_of_Alexandria
e090	person	leo-the-great	bishop_of	city	0440-rome-rome	440	461	5	Bishop of Rome whose Tome shaped Chalcedon.	https://en.wikipedia.org/wiki/Pope_Leo_I
e091	person	gregory-the-great	bishop_of	city	0590-rome-rome	590	604	5	Bishop of Rome; reformed liturgy and sent missionaries.	https://en.wikipedia.org/wiki/Pope_Gregory_I
e092	person	ephrem-the-syrian	active_in	city	0360-edessa-sanliurfa	363	373	5	Ephrem settled in Edessa after Nisibis fell to Persia.	https://en.wikipedia.org/wiki/Ephrem_the_Syrian
e093	person	anthony-the-great	active_in	city	0270-alexandria-alexandria	270	356	3	Anthony visited Alexandria twice during persecutions.	https://www.newadvent.org/fathers/2811.htm
e094	person	mark-the-evangelist	bishop_of	city	0050-alexandria-alexandria	49	68	4	Tradition holds Mark as first bishop of Alexandria.	https://en.wikipedia.org/wiki/Mark_the_Evangelist
e095	person	barnabas	visited	city	0040-antioch-antakya	40	50	5	Barnabas was sent to Antioch by the Jerusalem church.	https://biblehub.com/acts/11-22.htm
e096	person	timothy	bishop_of	city	0060-ephesus-selcuk	65	97	4	Timothy served as bishop of Ephesus per tradition.	https://en.wikipedia.org/wiki/Saint_Timothy
e097	person	hippolytus-of-rome	active_in	city	0200-rome-rome	200	235	4	Roman presbyter and writer; rival bishop of Rome.	https://en.wikipedia.org/wiki/Hippolytus_of_Rome
e098	person	cyprian-of-carthage	corresponded_with	person	clement-of-rome	250	258	2	Cyprian frequently cited Clement's authority in his writings.	https://www.newadvent.org/fathers/050701.htm
e099	person	irenaeus-of-lyon	visited	city	0170-rome-rome	177	180	3	Irenaeus traveled to Rome as envoy of the Lyon church.	https://www.newadvent.org/fathers/0103.htm
e100	person	origen-of-alexandria	active_in	city	0230-caesarea-maritima-qesarya	231	253	5	Origen relocated to Caesarea after conflict with bishop of Alexandria.	https://en.wikipedia.org/wiki/Origen
e101	person	eusebius-of-caesarea	bishop_of	city	0310-caesarea-maritima-qesarya	313	339	5	Bishop of Caesarea; wrote at the library founded by Origen.	https://en.wikipedia.org/wiki/Eusebius
e102	person	perpetua	martyred_at	event	martyrdom-of-perpetua-203	200	210	5	Perpetua was martyred in the arena at Carthage.	https://www.newadvent.org/fathers/0524.htm
e103	person	benedict-of-nursia	active_in	city	0530-monte-cassino-cassino	529	547	5	Founded the monastery at Monte Cassino.	https://en.wikipedia.org/wiki/Benedict_of_Nursia
e104	person	john-of-damascus	active_in	city	0700-jerusalem-jerusalem	700	749	4	John lived at the Mar Saba monastery near Jerusalem.	https://en.wikipedia.org/wiki/John_of_Damascus
e105	person	maximus-the-confessor	active_in	city	0630-constantinople-istanbul	626	662	4	Active in Constantinople defending dyothelitism.	https://en.wikipedia.org/wiki/Maximus_the_Confessor
e106	person	nestorius	bishop_of	city	0420-constantinople-istanbul	428	431	4	Archbishop of Constantinople condemned at Ephesus.	https://en.wikipedia.org/wiki/Nestorius
e107	person	arius	active_in	city	0310-alexandria-alexandria	318	336	4	Alexandrian presbyter whose teaching sparked the Arian controversy.	https://en.wikipedia.org/wiki/Arius
