city_id	city_label	city_ancient_primary	city_modern_primary	country_modern_primary	lat	lon	location_precision	christianity_start_year	church_planted_year_scholarly	church_planted_year_earliest_claim	church_planted_by	apostolic_origin_thread
brundisium-brindisi	Brundisium		Brindisi	Italy	40.62820	17.94240	approx_city	100				
byzantium-istanbul	Byzantium		Istanbul	Türkiye	41.00820	28.97840	exact	100	0100	0036	Andrew the Apostle (trad.); Stachys (trad.)	Unknown/Composite
caesaraugusta-zaragoza	Caesaraugusta		Zaragoza	Spain	41.65180	-0.87800	approx_city	180	0180	0060	unknown	Unknown/Composite
caesarea-cappadocia-kayseri	Caesarea Cappadocia		Kayseri	Türkiye	38.72250	35.48750	exact	150	0150	0050	unknown (1 Pet 1:1 implies Cappadocian Christians)	Unknown/Composite
caesarea-maritima-caesarea	Caesarea Maritima		Caesarea	Israel	32.4969	34.8965	exact	40	0040	0035	Philip the Evangelist; Peter	Unknown/Composite
caesarea-philippi-banias	Caesarea Philippi		Banias	Israel	33.24830	35.69330	approx_city	28	0028	0028	Jesus	Galilean/Apostolic
capernaum-kefar-nahum	Capernaum		Kefar Nahum	Israel	32.88120	35.57540	approx_city	28	0028	0028	Jesus; Peter; Andrew; James; John	Galilean/Apostolic
capua-santa-maria-capua-vetere	Capua		Santa Maria Capua Vetere	Italy	41.08250	14.25250	approx_city	100	0100	0060	Paul (trad.)	Pauline/Petrine
carnuntum-petronell-carnuntum	Carnuntum		Petronell-Carnuntum	Austria	48.11190	16.86220	approx_city	200	0200		unknown	Unknown/Composite
carrhae-harran	Carrhae		Harran	Türkiye	36.86110	39.02890	approx_city	100	0100		unknown	Syriac/Apostolic (trad.)
carthage-carthage	Carthage		Carthage	Tunisia	36.85280	10.32330	exact	180	0180	0060	unknown; possibly North African traders	Unknown/Composite
cenchreae-kenchreai	Cenchreae		Kenchreai	Greece	37.86830	23.00170	approx_city	51	0051	0051	Paul	Pauline
chalcedon-kad-koy-istanbul	Chalcedon		Kadıköy (Istanbul)	Türkiye	40.99060	29.03030	approx_city	150	0150		unknown	Unknown/Composite
cirta-constantine	Cirta		Constantine	Algeria	36.36500	6.61470	approx_city	200	0200		unknown	Unknown/Composite
colonia-agrippina-cologne	Colonia Agrippina		Cologne	Germany	50.93330	6.95000	approx_city	200	0200		unknown	Unknown/Composite
colossae-near-honaz	Colossae		near Honaz	Türkiye	37.78720	29.21670	approx_city	58	0058	0055	Epaphras	Pauline
corduba-cordoba	Corduba		Cordoba	Spain	37.88280	-4.77960	approx_city	180	0180	0060	unknown (trad. Paul via Spain)	Pauline
corinth-ancient-corinth	Corinth		Ancient Corinth	Greece	37.90800	22.87660	exact	50	0050	0050	Paul; Aquila; Priscilla	Pauline
cyprus-salamis-famagusta-area	Cyprus / Salamis		Famagusta area	Cyprus	35.18614	33.90571	exact	40	0040	0040	Barnabas; Paul	Pauline/Barnabas
cyrene-shahhat	Cyrene		Shahhat	Libya	32.81850	21.85910	approx_city	40	0040	0033	unnamed Cyrenean Jews converted at Jerusalem	Unknown/Composite
damascus-damascus	Damascus		Damascus	Syria	33.5138	36.2922	exact	33	0033	0033	Ananias of Damascus; pre-existing disciples	Unknown/Composite
derbe-near-karaman	Derbe		near Karaman	Türkiye	37.36670	33.38330	approx_city	47	0047	0047	Paul; Barnabas	Pauline
dura-europos-salihiye-submerged	Dura-Europos		Salihiye (submerged)	Syria	34.75000	40.73330	approx_city	232	0232		unknown	Unknown/Composite
eboracum-york	Eboracum		York	United Kingdom	53.95900	-1.08150	approx_city	200	0200		unknown	Unknown/Composite
edessa-sanl-urfa	Edessa		Şanlıurfa	Türkiye	37.15900	38.79690	approx_city	100	0100	0028	Thaddaeus (Addai; trad.)	Apostolic/Syriac
elvira-iliberis-near-granada	Elvira		Iliberis (near Granada)	Spain	37.17730	-3.59860	approx_city	250	0250		unknown	Unknown/Composite
emerita-augusta-merida	Emerita Augusta		Mérida	Spain	38.91850	-6.34300	approx_city	180	0180	0060	unknown	Unknown/Composite
emesa-homs	Emesa		Homs	Syria	34.72890	36.71750	approx_city	200	0200		unknown	Unknown/Composite
emmaus-emmaus-location-disputed	Emmaus		Emmaus (location disputed)	Palestinian Territories	31.83900	35.00200	region_only	28	0028	0028	Jesus (risen)	Galilean/Apostolic
ephesus-selcuk-area	Ephesus		Selcuk area	Türkiye	37.94990	27.36360	exact	50	0050	0050	Paul; Aquila; Priscilla	Pauline/Johannine
flavia-neapolis-nablus	Flavia Neapolis		Nablus	Palestinian Territories	32.22140	35.25440	approx_city	100	0100	0040	Philip the Evangelist (Samaritan mission)	Jerusalem/James
gadara-umm-qays	Gadara		Umm Qays	Jordan	32.65500	35.68200	approx_city	28	0028	0028	Jesus	Galilean/Apostolic
gangra-cank-r	Gangra		Çankırı	Türkiye	40.60130	33.61340	approx_city	250	0250		unknown	Unknown/Composite
gaza-gaza	Gaza		Gaza	Palestinian Territories	31.50000	34.46670	approx_city	40	0040	0038	Philip the Evangelist	Jerusalem/James
gerasa-jerash	Gerasa		Jerash	Jordan	32.27280	35.89560	approx_city	200	0200		unknown	Unknown/Composite
gortyna-gortyna	Gortyna		Gortyna	Greece	35.06440	24.94300	approx_city	57	0057	0057	Paul; Titus	Pauline
heliopolis-baalbek	Heliopolis		Baalbek	Lebanon	34.00090	36.21100	approx_city	250	0250		unknown	Unknown/Composite
hierapolis-pamukkale	Hierapolis		Pamukkale	Türkiye	37.92500	29.12500	approx_city	60	0060	0055	Epaphras	Pauline
hippo-regius-annaba	Hippo Regius		Annaba	Algeria	36.90000	7.76670	approx_city	180	0180		unknown	Unknown/Composite
hispalis-seville	Hispalis		Seville	Spain	37.38910	-5.98450	approx_city	200	0200		unknown	Unknown/Composite
iconium-konya	Iconium		Konya	Türkiye	37.86670	32.48330	approx_city	47	0047	0047	Paul; Barnabas	Pauline
jerusalem-jerusalem	Jerusalem		Jerusalem	Israel	31.7683	35.2137	approx_city	30	0030	0030	Jesus; Apostles	Jerusalem/James
joppa-jaffa-tel-aviv-yafo	Joppa		Jaffa (Tel Aviv-Yafo)	Israel	32.05780	34.75240	approx_city	36	0036	0036	Peter	Petrine
laodicea-denizli-area	Laodicea		Denizli area	Türkiye	37.83330	29.11670	approx_city	60	0060	0055	Epaphras	Pauline
laodicea-ad-mare-latakia	Laodicea ad Mare		Latakia	Syria	35.53170	35.79170	approx_city	100	0100		unknown	Unknown/Composite
leptis-magna-leptis-magna-near-al-khums	Leptis Magna		Leptis Magna (near Al Khums)	Libya	32.63890	14.28170	approx_city	200	0200		unknown	Unknown/Composite
londinium-london	Londinium		London	UK	51.50740	-0.12780	approx_city	200	0200	0040	unknown	Unknown/Composite
lugdunum-lyon	Lugdunum		Lyon	France	45.74850	4.84670	exact	177	0177	0140	Asian Greek Christian missionaries	Unknown/Composite
lystra-hatunsaray	Lystra		Hatunsaray	Türkiye	37.98330	32.53330	approx_city	47	0047	0047	Paul; Barnabas	Pauline
malabar-coast-india-kerala-region	Malabar Coast (India)		Kerala region	India	10.85050	76.27110	region_only	300	0300	0052	Thomas (trad.)	Thomine
malta-valletta-area	Malta		Valletta area	Malta	35.89720	14.51220	approx_city	60	0060	0060	Paul (shipwrecked)	Pauline
massilia-marseille	Massilia		Marseille	France	43.29650	5.36980	approx_city	180	0180		unknown (trade routes from east)	Unknown/Composite
mediolanum-milan	Mediolanum		Milan	Italy	45.46540	9.18660	approx_city	100	0100		unknown (Pauline or Roman mission)	Pauline
memphis-mit-rahina-near-cairo	Memphis		Mit Rahina (near Cairo)	Egypt	29.84740	31.25640	approx_city	50	0050	0000	Holy Family (Flight to Egypt trad.)	Apostolic/Coptic (trad.)
miletus-milet	Miletus		Milet	Türkiye	37.52280	27.27660	approx_city	57	0057	0057	Paul (passing through)	Pauline
mtskheta-mtskheta	Mtskheta		Mtskheta	Georgia	41.84470	44.72090	approx_city	330	0330	0040	Andrew (trad.); Nino of Cappadocia	Unknown/Composite
myra-demre	Myra		Demre	Türkiye	36.24400	29.98400	approx_city	50	0050	0050	Paul (passing through)	Pauline
naissus-nis	Naissus		Niš	Serbia	43.32090	21.89580	approx_city	200	0200		unknown	Unknown/Composite
narbo-narbonne	Narbo		Narbonne	France	43.18390	3.00270	approx_city	200	0200		unknown	Unknown/Composite
nazareth-nazareth	Nazareth		Nazareth	Israel	32.69960	35.29500	approx_city	28	0028	0028	Jesus (raised here)	Galilean/Apostolic
nazianzus-bekarlar-near-guzelyurt	Nazianzus		Bekarlar (near Güzelyurt)	Türkiye	38.19810	34.39080	approx_city	280	0280		unknown	Unknown/Composite
neapolis-naples	Neapolis		Naples	Italy	40.85180	14.26810	approx_city	100	0100	0060	Paul (trad.; near Puteoli)	Pauline/Petrine
neocaesarea-niksar	Neocaesarea		Niksar	Türkiye	40.59130	36.96000	approx_city	100	0100		unknown	Unknown/Composite
nicaea-iznik	Nicaea		Iznik	Türkiye	40.42890	29.72140	approx_city	110	0110	0100	unknown	Unknown/Composite
nicomedia-izmit	Nicomedia		Izmit	Türkiye	40.76499	29.92928	exact	110	0110	0100	unknown	Unknown/Composite
nicopolis-nicopolis-preveza-area	Nicopolis		Nicopolis (Preveza area)	Greece	38.96670	20.75000	approx_city	60	0060		Paul (trad. winter stay)	Pauline
nisibis-nusaybin	Nisibis		Nusaybin	Türkiye	37.06080	41.21750	approx_city	150	0180	0100	unknown	Unknown/Composite
ostia-ostia-antica	Ostia		Ostia Antica	Italy	41.75660	12.28560	approx_city	100	0100	0060	Paul (arrives near here); Peter (trad.)	Pauline/Petrine
oxyrhynchus-el-bahnasa	Oxyrhynchus		El Bahnasa	Egypt	28.53900	30.66660	approx_city	200	0200		unknown	Unknown/Composite
palmyra-tadmur	Palmyra		Tadmur	Syria	34.55190	38.26630	approx_city	200	0200		unknown	Unknown/Composite
paphos-paphos	Paphos		Paphos	Cyprus	34.77570	32.42430	approx_city	47	0047	0047	Paul; Barnabas	Pauline
patmos-patmos	Patmos		Patmos	Greece	37.32080	26.54870	approx_city	95	0095	0090	John (exiled)	Johannine
pella-pella-tabaqat-fahl	Pella		Pella (Tabaqat Fahl)	Jordan	32.45190	35.61810	approx_city	66	0066	0066	Jerusalem community (fled)	Jerusalem/James
pepuza-near-usak-exact-location-debated	Pepuza		near Uşak (exact location debated)	Türkiye	38.67800	29.40600	approx_city	156	0156		Montanus; Priscilla; Maximilla	Montanist
perga-aksu	Perga		Aksu	Türkiye	36.96130	30.85080	approx_city	47	0047	0047	Paul; Barnabas	Pauline
pergamon-bergama	Pergamon		Bergama	Türkiye	39.13200	27.18390	exact	60	0060	0060	unknown	Unknown/Composite
petra-petra	Petra		Petra	Jordan	30.32850	35.44440	approx_city	200	0200	0037	Paul (trad.; 'Arabia' Gal 1:17 may refer here)	Pauline
philadelphia-alasehir	Philadelphia		Alaşehir	Türkiye	38.35240	28.50670	approx_city	60	0060	0055	Paul (indirect via associates)	Pauline
philadelphia-arabia-amman	Philadelphia (Arabia)		Amman	Jordan	31.95220	35.93300	approx_city	100	0100		unknown	Unknown/Composite
philippi-filippoi	Philippi		Filippoi	Greece	41.01389	24.28222	exact	49	0049	0049	Paul; Silas; Lydia	Pauline
philippopolis-plovdiv	Philippopolis		Plovdiv	Bulgaria	42.13540	24.74530	approx_city	200	0200		unknown	Unknown/Composite
pisidian-antioch-yalvac	Pisidian Antioch		Yalvac	Türkiye	38.12000	31.55440	approx_city	47	0047	0047	Paul; Barnabas	Pauline
ptolemais-akko	Ptolemais		Akko	Israel	32.92620	35.06930	approx_city	50	0050	0050	Paul (passing through)	Pauline
puteoli-pozzuoli	Puteoli		Pozzuoli	Italy	40.81970	14.12070	approx_city	60	0060	0060	Paul (passing through)	Pauline
ravenna-ravenna	Ravenna		Ravenna	Italy	44.41840	12.20350	approx_city	200	0200		unknown	Unknown/Composite
rhegium-reggio-calabria	Rhegium		Reggio Calabria	Italy	38.11030	15.64790	approx_city	60	0060	0060	Paul (one-night stop)	Pauline
rome-rome	Rome		Rome	Italy	41.89551	12.48230	exact	42	0042	0042	Peter; Paul (trad.)	Petrine/Pauline
salona-solin-near-split	Salona		Solin (near Split)	Croatia	43.54000	16.49000	approx_city	100	0100	0055	Paul (Illyricum mission, Rom 15:19)	Pauline
samaria-sebastiyah	Samaria		Sebastiyah	Palestinian Territories	32.26970	35.19140	approx_city	36	0036	0036	Philip the Evangelist; Peter; John the Apostle	Unknown/Composite
samosata-samsat-submerged	Samosata		Samsat (submerged)	Türkiye	37.58530	38.52810	approx_city	100	0100		unknown	Unknown/Composite
sardis-sart	Sardis		Sart	Türkiye	38.48800	28.03160	approx_city	60	0060	0055	Paul (indirect via associates)	Pauline
scythopolis-bet-shean	Scythopolis		Bet She'an	Israel	32.50260	35.50120	approx_city	100	0100	0040	unnamed missionaries	Galilean/Apostolic
sebaste-sivas	Sebaste		Sivas	Türkiye	39.74770	37.01790	approx_city	300	0300		unknown	Unknown/Composite
seleucia-pieria-cevlik	Seleucia Pieria		Çevlik	Türkiye	36.11670	35.93330	approx_city	47	0047	0047	Paul; Barnabas	Pauline
seleucia-ctesiphon-al-madain	Seleucia-Ctesiphon		Al-Madain	Iraq	33.09560	44.57590	approx_city	100	0100	0035	Thomas the Apostle (trad.); Addai tradition	Unknown/Composite
serdica-sofia	Serdica		Sofia	Bulgaria	42.69770	23.32190	approx_city	200	0200		unknown	Unknown/Composite
sidon-sidon-saida	Sidon		Sidon (Saida)	Lebanon	33.56340	35.37060	approx_city	60	0060		unknown	Unknown/Composite
sinope-sinop	Sinope		Sinop	Türkiye	42.02310	35.15340	approx_city	100	0100		unknown	Unknown/Composite
sirmium-sremska-mitrovica	Sirmium		Sremska Mitrovica	Serbia	44.96670	19.61670	approx_city	200	0200		unknown	Unknown/Composite
smyrna-izmir	Smyrna		Izmir	Türkiye	38.41270	27.13840	exact	55	0055	0055	Paul (implied); John (trad.)	Pauline/Johannine
syracuse-syracuse	Syracuse		Syracuse	Italy	37.07510	15.28660	approx_city	60	0060	0060	Paul (passing through)	Pauline
tarraco-tarragona	Tarraco		Tarragona	Spain	41.11890	1.24450	approx_city	180	0180	0060	Paul (trad.)	Pauline
tarsus-tarsus	Tarsus		Tarsus	Türkiye	36.91670	34.88330	approx_city	40	0040	0035	Paul (native; returned here post-conversion)	Pauline
thebes-luxor	Thebes		Luxor	Egypt	25.68720	32.63960	approx_city	250	0250		unknown	Coptic/Apostolic (trad.)
thessalonica-thessaloniki	Thessalonica		Thessaloniki	Greece	40.64010	22.94440	exact	49	0049	0049	Paul; Silas; Timothy	Pauline
thyatira-akhisar	Thyatira		Akhisar	Türkiye	38.91840	27.83590	exact	55	0055	0055	Paul (implied); Lydia of Thyatira (native)	Pauline
tiberias-tiberias	Tiberias		Tiberias	Israel	32.79560	35.53030	approx_city	100	0100	0040	unnamed Galilean missionaries	Galilean/Apostolic
tolosa-toulouse	Tolosa		Toulouse	France	43.60470	1.44420	approx_city	200	0200		unknown	Unknown/Composite
tomis-constanta	Tomis		Constanta	Romania	44.15980	28.63480	approx_city	200	0200		unknown	Unknown/Composite
trapezus-trabzon	Trapezus		Trabzon	Türkiye	41.00150	39.71780	approx_city	100	0100	0040	Andrew (trad.)	Unknown/Composite
troas-alexandria-troas	Troas		Alexandria Troas	Türkiye	39.78330	26.08330	approx_city	50	0050	0050	Paul	Pauline
tyre-tyre-sur	Tyre		Tyre (Sur)	Lebanon	33.2741	35.1949	exact	50	0050	0050	Paul (visiting); unnamed disciples	Unknown/Composite
vagharshapat-vagharshapat-etchmiadzin	Vagharshapat		Vagharshapat (Etchmiadzin)	Armenia	40.16500	44.29210	approx_city	301	0301	0040	Bartholomew and Thaddaeus (trad.)	Unknown/Composite
valentia-valencia	Valentia		Valencia	Spain	39.46990	-0.37630	approx_city	200	0200		unknown	Unknown/Composite
vienne-vienne	Vienne		Vienne	France	45.52390	4.87470	approx_city	170	0170		unknown (eastern trade and Lyonian mission)	Unknown/Composite
