mention_source_type	source_table	source_row_id	source_field	source_path	mentioned_type	mentioned_id	mention_label
markdown_file				data/essays/eucharist-center.md	person	ignatius-of-antioch	Ignatius of Antioch
markdown_file				data/essays/eucharist-center.md	person	irenaeus-of-lyon	Irenaeus
markdown_file				data/essays/eucharist-center.md	person	irenaeus-of-lyon	Irenaeus of Lyon
markdown_file				data/essays/eucharist-center.md	person	jesus-of-nazareth	Jesus
markdown_file				data/essays/eucharist-center.md	person	justin-martyr	Justin
markdown_file				data/essays/eucharist-center.md	person	justin-martyr	Justin Martyr
markdown_file				data/essays/eucharist-center.md	person	paul	Paul
markdown_file				data/essays/eucharist-center.md	person	peter	Peter
markdown_file				data/essays/eucharist-center.md	work	1-clement	1 Clement
markdown_file				data/essays/eucharist-center.md	work	didache	Didache
markdown_file				data/essays/eucharist-center.md	work	hippolytus-apostolic-tradition	Apostolic Tradition
markdown_file				data/essays/eucharist-center.md	work	ignatius-ephesians	Letter to the Ephesians
markdown_file				data/essays/eucharist-center.md	work	ignatius-philadelphians	Letter to the Philadelphians
markdown_file				data/essays/eucharist-center.md	work	ignatius-smyrnaeans	Letter to the Smyrnaeans
markdown_file				data/essays/eucharist-center.md	work	irenaeus-against-heresies	Against Heresies
markdown_file				data/essays/eucharist-center.md	work	justin-first-apology	First Apology
markdown_file				data/essays/eucharist-center.md	work	nt-1cor	1 Corinthians
markdown_file				data/essays/infant-baptism.md	archaeology	catacombs-of-rome	Catacombs of Rome
markdown_file				data/essays/infant-baptism.md	archaeology	dura-europos-house-church	Dura-Europos house church
markdown_file				data/essays/infant-baptism.md	city	alexandria-alexandria	Alexandria
markdown_file				data/essays/infant-baptism.md	city	antioch-antakya	Antioch
markdown_file				data/essays/infant-baptism.md	city	caesarea-maritima-caesarea	Caesarea
markdown_file				data/essays/infant-baptism.md	city	carthage-carthage	Carthage
markdown_file				data/essays/infant-baptism.md	city	corinth-ancient-corinth	Corinth
markdown_file				data/essays/infant-baptism.md	city	philippi-filippoi	Philippi
markdown_file				data/essays/infant-baptism.md	city	rome-rome	Rome
markdown_file				data/essays/infant-baptism.md	event	pentecost-and-rapid-growth-of-jerusalem-community-acts-2	Pentecost
markdown_file				data/essays/infant-baptism.md	person	augustine-of-hippo	Augustine of Hippo
markdown_file				data/essays/infant-baptism.md	person	cornelius	Cornelius
markdown_file				data/essays/infant-baptism.md	person	cyprian-of-carthage	Cyprian of Carthage
markdown_file				data/essays/infant-baptism.md	person	hippolytus	Hippolytus
markdown_file				data/essays/infant-baptism.md	person	hippolytus	Hippolytus of Rome
markdown_file				data/essays/infant-baptism.md	person	irenaeus-of-lyon	Irenaeus
markdown_file				data/essays/infant-baptism.md	person	irenaeus-of-lyon	Irenaeus of Lyon
markdown_file				data/essays/infant-baptism.md	person	lydia	Lydia
markdown_file				data/essays/infant-baptism.md	person	origen	Origen
markdown_file				data/essays/infant-baptism.md	person	origen	Origen of Alexandria
markdown_file				data/essays/infant-baptism.md	person	paul	Paul
markdown_file				data/essays/infant-baptism.md	person	peter	Peter
markdown_file				data/essays/infant-baptism.md	person	stephanas	Stephanas
markdown_file				data/essays/infant-baptism.md	person	tertullian	Tertullian
markdown_file				data/essays/infant-baptism.md	work	cyprian-ep-64	this letter
markdown_file				data/essays/infant-baptism.md	work	didache	Didache
markdown_file				data/essays/infant-baptism.md	work	hippolytus-apostolic-tradition	Apostolic Tradition
markdown_file				data/essays/infant-baptism.md	work	irenaeus-against-heresies	Against Heresies
markdown_file				data/essays/infant-baptism.md	work	nt-acts	Acts
markdown_file				data/essays/infant-baptism.md	work	nt-colossians	Colossians
markdown_file				data/essays/infant-baptism.md	work	tertullian-de-baptismo	De Baptismo
markdown_file				data/essays/religion-of-the-apostles.md	archaeology	capernaum-insula-sacra	Insula Sacra at Capernaum
markdown_file				data/essays/religion-of-the-apostles.md	archaeology	pool-of-siloam-jerusalem	Pool of Siloam
markdown_file				data/essays/religion-of-the-apostles.md	city	capernaum-kefar-nahum	Capernaum
markdown_file				data/essays/religion-of-the-apostles.md	city	carthage-carthage	Carthage
markdown_file				data/essays/religion-of-the-apostles.md	city	jerusalem-jerusalem	Jerusalem
markdown_file				data/essays/religion-of-the-apostles.md	city	patmos-patmos	Patmos
markdown_file				data/essays/religion-of-the-apostles.md	event	destruction-jerusalem-temple-70	destruction of the Temple in 70 CE
markdown_file				data/essays/religion-of-the-apostles.md	person	clement-of-rome	Clement of Rome
markdown_file				data/essays/religion-of-the-apostles.md	person	cornelius	Cornelius
markdown_file				data/essays/religion-of-the-apostles.md	person	hippolytus	Hippolytus
markdown_file				data/essays/religion-of-the-apostles.md	person	irenaeus-of-lyon	Irenaeus
markdown_file				data/essays/religion-of-the-apostles.md	person	james-the-just	James
markdown_file				data/essays/religion-of-the-apostles.md	person	jesus-of-nazareth	Jesus
markdown_file				data/essays/religion-of-the-apostles.md	person	john-of-patmos	John of Patmos
markdown_file				data/essays/religion-of-the-apostles.md	person	john-the-apostle	John
markdown_file				data/essays/religion-of-the-apostles.md	person	justin-martyr	Justin Martyr
markdown_file				data/essays/religion-of-the-apostles.md	person	melito-of-sardis	Melito
markdown_file				data/essays/religion-of-the-apostles.md	person	melito-of-sardis	Melito of Sardis
markdown_file				data/essays/religion-of-the-apostles.md	person	paul	Paul
markdown_file				data/essays/religion-of-the-apostles.md	person	peter	Peter
markdown_file				data/essays/religion-of-the-apostles.md	person	tertullian	Tertullian
markdown_file				data/essays/religion-of-the-apostles.md	work	1-clement	1 Clement
markdown_file				data/essays/religion-of-the-apostles.md	work	didache	Didache
markdown_file				data/essays/religion-of-the-apostles.md	work	hippolytus-apostolic-tradition	Apostolic Tradition
markdown_file				data/essays/religion-of-the-apostles.md	work	justin-first-apology	First Apology
markdown_file				data/essays/religion-of-the-apostles.md	work	melito-on-pascha	Peri Pascha
markdown_file				data/essays/religion-of-the-apostles.md	work	nt-1cor	First Letter to the Corinthians
markdown_file				data/essays/religion-of-the-apostles.md	work	nt-acts	Acts
markdown_file				data/essays/religion-of-the-apostles.md	work	nt-acts	Acts of the Apostles
markdown_file				data/essays/religion-of-the-apostles.md	work	nt-hebrews	Letter to the Hebrews
markdown_file				data/essays/religion-of-the-apostles.md	work	nt-revelation	Revelation
markdown_file				docs/app-data.md	bible	...	
markdown_file				docs/app-data.md	bible	1Cor.11.23	1 Corinthians 11:23
markdown_file				docs/app-data.md	group	roman-empire	Roman Empire
markdown_file				docs/app-data.md	person	paul	Paul
markdown_file				docs/app-data.md	place	jerusalem-jerusalem	Jerusalem
markdown_file				docs/app-data.md	type	id	Label
markdown_file				docs/app-data.md	type	id	label
markdown_file				docs/app-data.md	work	nt-1cor	1 Corinthians
markdown_file				docs/old-data.md	person	tertullian	
markdown_file				docs/old-data.md	type	id	
markdown_file				docs/old-data.md	type	id	label
markdown_file				docs/old-data.md	type	id\	label
markdown_file				docs/ui_rules.md	kind	id	
markdown_file				docs/ui_rules.md	kind	id	label
