key_figure_canonical	person_id_suggested	mentions	sample_raw_variants
Eusebius of Caesarea	eusebius-of-caesarea	5	Eusebius of Caesarea ; Eusebius of Caesarea (d. 339)
Aquila	aquila	5	Aquila
Agrippinus	agrippinus	5	Agrippinus
Pantaenus	pantaenus	5	Pantaenus ; Pantaenus (d.~190) ; Pantaenus (heads school c.180) ; Pantaenus (later catechist)
Arius	arius	5	Arius ; Arius (cleric) ; Arius (young cleric)
Athenagoras	athenagoras	5	Athenagoras ; Athenagoras (c.133-190)
Caecilian	caecilian	5	Caecilian ; Caecilian (deacon)
Donatus of Carthage	donatus-of-carthage	5	Donatus of Carthage ; Donatus of Carthage (exiled 347)
Epaphras	epaphras	5	Epaphras ; Epaphras (Col 4:13)
Melito of Sardis	melito-of-sardis	5	Melito of Sardis ; Melito of Sardis (d.~190) ; Melito of Sardis (young)
Papias of Hierapolis	papias-of-hierapolis	5	Papias of Hierapolis ; Papias of Hierapolis (d.~130) ; Papias of Hierapolis (young)
Frumentius	frumentius	5	Frumentius ; Frumentius (bishop) ; Frumentius (young)
Nino of Cappadocia	nino-of-cappadocia	5	Nino of Cappadocia ; Nino of Cappadocia (d.c.338) ; Nino of Cappadocia (young slave girl)
Anthony the Great	anthony-the-great	5	Anthony the Great ; Anthony the Great (ascetic active near Thebaid) ; Anthony the Great (eremitic)
John	john	4	John ; John (trad. arriving) ; John (trad., resident Ephesus)
Narcissus of Jerusalem	narcissus-of-jerusalem	4	Narcissus of Jerusalem
Cornelius	cornelius	4	Cornelius
Maximin	maximin	4	Maximin
Dionysius of Corinth	dionysius-of-corinth	4	Dionysius of Corinth ; Dionysius of Corinth (c.170)
Hippolytus	hippolytus	4	Hippolytus ; Hippolytus (rival bishop)
Athanasius of Alexandria	athanasius-of-alexandria	4	Athanasius of Alexandria ; Athanasius of Alexandria (bishop 328) ; Athanasius of Alexandria (exiled 335-337; 339-346) ; Athanasius of Alexandria (exiled 339-342)
Clement of Alexandria	clement-of-alexandria	4	Clement of Alexandria ; Clement of Alexandria (arriving)
Heraclas	heraclas	4	Heraclas
Quadratus	quadratus	4	Quadratus (apologist) ; Quadratus (apologist, c.124) ; Quadratus (apologist, ~124) ; Quadratus (bishop c.170s?)
Aggai	aggai	4	Aggai ; Aggai (trad.)
Pothinus	pothinus	4	Pothinus ; Pothinus (martyred 177) ; Pothinus (young; arriving bishop)
Apollinaris of Hierapolis	apollinaris-of-hierapolis	4	Apollinaris of Hierapolis ; Apollinaris of Hierapolis (bishop ~170) ; Apollinaris of Hierapolis (d.~175)
Beryllus of Bostra	beryllus-of-bostra	4	Beryllus of Bostra (becoming active) ; Beryllus of Bostra (bishop) ; Beryllus of Bostra (nearby Arabia)
successors	successors	4	successors
Titus	titus	4	Titus ; Titus (departed) ; Titus (in Dalmatia, 2 Tim 4:10)
Philippus of Gortyna	philippus-of-gortyna	4	Philippus of Gortyna (bishop active) ; Philippus of Gortyna (bishop c.160-180) ; Philippus of Gortyna (bishop)
Catholic bishop	catholic-bishop	4	Catholic bishop
Donatist bishop	donatist-bishop	4	Donatist bishop (rival)
Bar Daisan	bar-daisan	4	Bar Daisan (Bardesanes) ; Bar Daisan (Bardesanes, 154-222 AD) ; Bar Daisan (d.222)
James the Just	james-the-just	3	James the Just
Philip	philip	3	Philip ; Philip (trad.) ; Philip (trad., d.~80)
Publius	publius	3	Publius ; Publius (father healed) ; Publius (first bishop, trad.)
Julian	julian	3	Julian
Hymenaeus	hymenaeus	3	Hymenaeus
Theophilus of Antioch	theophilus-of-antioch	3	Theophilus of Antioch
Cyril	cyril	3	Cyril ; Cyril (bishop)
Theoctistus	theoctistus	3	Theoctistus
Eusebius	eusebius	3	Eusebius ; Eusebius (oration) ; Eusebius (young student)
John Mark	john-mark	3	John Mark ; John Mark (departs)
Clement	clement	3	Clement ; Clement (Phil 4:3) ; Clement (fled)
Aristarchus	aristarchus	3	Aristarchus ; Aristarchus (trad.)
Apollos	apollos	3	Apollos
Primus	primus	3	Primus
Hermas	hermas	3	Hermas ; Hermas (author)
Marcellinus	marcellinus	3	Marcellinus ; Marcellinus (d.304)
Sylvester I	sylvester-i	3	Sylvester I ; Sylvester I (d.335)
Julius I	julius-i	3	Julius I ; Julius I (d.352)
Ananianus	ananianus	3	Ananianus
Avilius	avilius	3	Avilius
Dionysius of Alexandria	dionysius-of-alexandria	3	Dionysius of Alexandria ; Dionysius of Alexandria (the Great)
Theonas	theonas	3	Theonas
Peter of Alexandria	peter-of-alexandria	3	Peter of Alexandria ; Peter of Alexandria (young)
Alexander of Alexandria	alexander-of-alexandria	3	Alexander of Alexandria
Athanasius	athanasius	3	Athanasius ; Athanasius (deacon/bishop) ; Athanasius (exiled here c.340)
Dionysius the Areopagite	dionysius-the-areopagite	3	Dionysius the Areopagite ; Dionysius the Areopagite (trad.)
Addai	addai	3	Addai ; Addai (trad.)
Cyprian of Carthage	cyprian-of-carthage	3	Cyprian of Carthage ; Cyprian of Carthage (bishop 248-258) ; Cyprian of Carthage (martyred 258)
Mensurius	mensurius	3	Mensurius
Irenaeus of Lyon	irenaeus-of-lyon	3	Irenaeus of Lyon ; Irenaeus of Lyon (bishop c.177-202) ; Irenaeus of Lyon (d. c.202)
unnamed successor	unnamed-successor	3	unnamed successor
Metrophanes of Byzantium	metrophanes-of-byzantium	3	Metrophanes of Byzantium
unnamed successors	unnamed-successors	3	unnamed successors
Archippus	archippus	3	Archippus ; Archippus (Col 4:17)
Marcellus of Ancyra	marcellus-of-ancyra	3	Marcellus of Ancyra ; Marcellus of Ancyra (bishop from ~314) ; Marcellus of Ancyra (exiled ~336)
Maternus	maternus	3	Maternus ; Maternus (bishop)
unnamed Syrian missionaries	unnamed-syrian-missionaries	3	unnamed Syrian missionaries
unnamed church leaders	unnamed-church-leaders	3	unnamed church leaders
King Ezana	king-ezana	3	King Ezana
Aristakes	aristakes	3	Aristakes (Catholicos) ; Aristakes (Catholicos, martyred c.333) ; Aristakes (Gregory's son, at Nicaea)
Jerusalem refugee community	jerusalem-refugee-community	3	Jerusalem refugee community
desposynoi	desposynoi	3	desposynoi ; desposynoi (Jesus's relatives)
Joseph of Tiberias	joseph-of-tiberias	3	Joseph of Tiberias ; Joseph of Tiberias (Comes, builds churches ~335 AD) ; Joseph of Tiberias (builds churches)
Gregory of Nazianzus	gregory-of-nazianzus	3	Gregory of Nazianzus (born c.329 AD) ; Gregory of Nazianzus (young student) ; Gregory of Nazianzus (youth)
Eustathius of Sebaste	eustathius-of-sebaste	3	Eustathius of Sebaste (bishop) ; Eustathius of Sebaste (bishop, c.300-379 AD)
Zacchaeus	zacchaeus	2	Zacchaeus
Mark	mark	2	Mark ; Mark (first Gentile bishop)
Cassianus	cassianus	2	Cassianus
Maximus I	maximus-i	2	Maximus I
Zabdas	zabdas	2	Zabdas
Hermon	hermon	2	Hermon
Cyril of Jerusalem	cyril-of-jerusalem	2	Cyril of Jerusalem
Heron	heron	2	Heron ; Heron (successor)
Eros	eros	2	Eros
Philetus	philetus	2	Philetus
Zebinus	zebinus	2	Zebinus
Babylas of Antioch	babylas-of-antioch	2	Babylas of Antioch
Demetrianus	demetrianus	2	Demetrianus
Domnus	domnus	2	Domnus
Timaeus	timaeus	2	Timaeus
Tyrannus	tyrannus	2	Tyrannus
Vitalis	vitalis	2	Vitalis ; Vitalis (bishop at Ancyra synod 314)
Eustathius of Antioch	eustathius-of-antioch	2	Eustathius of Antioch
Ananias of Damascus	ananias-of-damascus	2	Ananias of Damascus
Ambrose	ambrose	2	Ambrose (patron)
Acacius of Caesarea	acacius-of-caesarea	2	Acacius of Caesarea
Simon the Tanner	simon-the-tanner	2	Simon the Tanner
Sergius Paulus	sergius-paulus	2	Sergius Paulus ; Sergius Paulus (proconsul)
Paulinus of Tyre	paulinus-of-tyre	2	Paulinus of Tyre
Epaphroditus	epaphroditus	2	Epaphroditus
Linus	linus	2	Linus
Anacletus	anacletus	2	Anacletus
Clement of Rome	clement-of-rome	2	Clement of Rome
Evaristus	evaristus	2	Evaristus
Alexander I	alexander-i	2	Alexander I
Sixtus I	sixtus-i	2	Sixtus I
Telesphorus	telesphorus	2	Telesphorus
Valentinus	valentinus	2	Valentinus ; Valentinus (possibly educated here)
Anicetus	anicetus	2	Anicetus
Victor I	victor-i	2	Victor I
Zephyrinus	zephyrinus	2	Zephyrinus
Callixtus I	callixtus-i	2	Callixtus I
Urban I	urban-i	2	Urban I
Pontian	pontian	2	Pontian
Fabian	fabian	2	Fabian
Novatian	novatian	2	Novatian ; Novatian (schismatic)
Dionysius of Rome	dionysius-of-rome	2	Dionysius of Rome
Mark the Evangelist	mark-the-evangelist	2	Mark the Evangelist (trad.)
Kedron	kedron	2	Kedron
Basilides	basilides	2	Basilides (gnostic) ; Basilides (gnostic, c.117-138)
Eumenes	eumenes	2	Eumenes
Marcus I	marcus-i	2	Marcus I
Celadion	celadion	2	Celadion
Onesimus	onesimus	2	Onesimus ; Onesimus (bishop, trad.)
Polycrates of Ephesus	polycrates-of-ephesus	2	Polycrates of Ephesus
Bardaisan	bardaisan	2	Bardaisan (Edessa context) ; Bardaisan (b.154)
Gratus	gratus	2	Gratus
Restitutus	restitutus	2	Restitutus ; Restitutus (Bishop of London)
Blandina	blandina	2	Blandina ; Blandina (martyred 177)
Pliny the Younger	pliny-the-younger	2	Pliny the Younger (governor) ; Pliny the Younger (governor, attests Bithynian Christians)
Anthimus of Nicomedia	anthimus-of-nicomedia	2	Anthimus of Nicomedia ; Anthimus of Nicomedia (martyred 303)
Stachys	stachys	2	Stachys (trad.) ; Stachys (trad., Romans 16:9)
Metrophanes	metrophanes	2	Metrophanes (bishop c.306-314) ; Metrophanes (later)
Alexander of Byzantium	alexander-of-byzantium	2	Alexander of Byzantium
Paul of Constantinople	paul-of-constantinople	2	Paul of Constantinople ; Paul of Constantinople (martyred 351)
Macedonius	macedonius	2	Macedonius
Eborius	eborius	2	Eborius (Bishop of York) ; Eborius (bishop at Arles 314)
Firmilian	firmilian	2	Firmilian (young)
Alexander	alexander	2	Alexander ; Alexander (bishop c.212)
Basil of Caesarea	basil-of-caesarea	2	Basil of Caesarea (young) ; Basil of Caesarea (young, b.~330)
Sagaris	sagaris	2	Sagaris (martyred c.166)
John of Patmos	john-of-patmos	2	John of Patmos (addressing)
Paul of Tarsus	paul-of-tarsus	2	Paul of Tarsus ; Paul of Tarsus (possibly in this region)
unnamed local Christians	unnamed-local-christians	2	unnamed local Christians
Sopater of Beroia	sopater-of-beroia	2	Sopater of Beroia
Basil of Ancyra	basil-of-ancyra	2	Basil of Ancyra ; Basil of Ancyra (bishop ~336-360)
Lucius of Cyrene	lucius-of-cyrene	2	Lucius of Cyrene ; Lucius of Cyrene (Acts 13:1)
Hermagoras	hermagoras	2	Hermagoras (trad.) ; Hermagoras (trad., sent by Mark)
Fortunatianus of Aquileia	fortunatianus-of-aquileia	2	Fortunatianus of Aquileia (bishop from ~343) ; Fortunatianus of Aquileia (bishop)
Knayi Thoma	knayi-thoma	2	Knayi Thoma (trad.)
Eunice	eunice	2	Eunice
Lois	lois	2	Lois
Gaius of Derbe	gaius-of-derbe	2	Gaius of Derbe
Phoebe	phoebe	2	Phoebe
Cerdo	cerdo	2	Cerdo (bishop, Marcion's father, trad.) ; Cerdo (bishop, trad.)
Marcionite community	marcionite-community	2	Marcionite community (rival)
King Tiridates III	king-tiridates-iii	2	King Tiridates III
Vrtanes	vrtanes	2	Vrtanes (Catholicos)
King Mirian III	king-mirian-iii	2	King Mirian III
first bishop of Iberia	first-bishop-of-iberia	2	first bishop of Iberia
Mary	mary	2	Mary
Constantius I	constantius-i	2	Constantius I (stationed here) ; Constantius I (western emperor here)
bishop at Council of Elvira	bishop-at-council-of-elvira	2	bishop at Council of Elvira ; bishop at Council of Elvira (c.306)
Valerius of Caesaraugusta	valerius-of-caesaraugusta	2	Valerius of Caesaraugusta (bishop)
Marinus	marinus	2	Marinus (bishop, martyred c.304) ; Marinus (martyred)
Marcion of Arles	marcion-of-arles	2	Marcion of Arles (bishop)
Montanus	montanus	2	Montanus
Maximilla	maximilla	2	Maximilla ; Maximilla (active)
Paul of Cirta	paul-of-cirta	2	Paul of Cirta (traditores bishop)
Tobias	tobias	1	Tobias
John II	john-ii	1	John II
Matthias	matthias	1	Matthias
Gaianus	gaianus	1	Gaianus
Capito	capito	1	Capito
Dius	dius	1	Dius
Mazabanes	mazabanes	1	Mazabanes
Helena	helena	1	Helena (empress)
Maximus of Jerusalem	maximus-of-jerusalem	1	Maximus of Jerusalem
Evodius	evodius	1	Evodius
Asclepiades	asclepiades	1	Asclepiades
Asclepiades of Antioch	asclepiades-of-antioch	1	Asclepiades of Antioch
Fabius of Antioch	fabius-of-antioch	1	Fabius of Antioch
Lucian of Antioch	lucian-of-antioch	1	Lucian of Antioch
Philogonius	philogonius	1	Philogonius
Eustathius	eustathius	1	Eustathius (deposed ~330)
Paulinus	paulinus	1	Paulinus
Eulalius	eulalius	1	Eulalius
Flacillus	flacillus	1	Flacillus
Stephanus	stephanus	1	Stephanus
Leontius of Antioch	leontius-of-antioch	1	Leontius of Antioch
Theophilus	theophilus	1	Theophilus (bishop)
Pamphilus	pamphilus	1	Pamphilus (later)
Theotecnus	theotecnus	1	Theotecnus
Acacius	acacius	1	Acacius
Tabitha	tabitha	1	Tabitha (Dorcas)
Simon Magus	simon-magus	1	Simon Magus (opponent)
Heracleidios	heracleidios	1	Heracleidios (trad. first bishop)
Gelasius	gelasius	1	Gelasius
Epiphanius of Salamis	epiphanius-of-salamis	1	Epiphanius of Salamis (young, born c.310-320)
Lydia	lydia	1	Lydia
unnamed bishops and deacons	unnamed-bishops-and-deacons	1	unnamed bishops and deacons
Valens	valens	1	Valens (problematic deacon)
Jason	jason	1	Jason
Secundus	secundus	1	Secundus
Crispus	crispus	1	Crispus
Gaius	gaius	1	Gaius
Sosthenes	sosthenes	1	Sosthenes
Chloe's household	chloes-household	1	Chloe's household
factions	factions	1	factions
Fortunatus	fortunatus	1	Fortunatus (1 Cor 16:17 trad.)
1 Clement recipients	1-clement-recipients	1	1 Clement recipients
Bacchylides	bacchylides	1	Bacchylides
Hyginus	hyginus	1	Hyginus
Pius I	pius-i	1	Pius I
Marcion	marcion	1	Marcion (expelled ~144)
Soter	soter	1	Soter
Tatian	tatian	1	Tatian
Eleutherus	eleutherus	1	Eleutherus
Cyprian	cyprian	1	Cyprian (correspondence)
Lucius I	lucius-i	1	Lucius I
Stephen I	stephen-i	1	Stephen I
Sixtus II	sixtus-ii	1	Sixtus II (martyred 258)
Felix I	felix-i	1	Felix I
Eutychian	eutychian	1	Eutychian
Caius	caius	1	Caius
Marcellus I	marcellus-i	1	Marcellus I
Miltiades	miltiades	1	Miltiades
Liberius	liberius	1	Liberius
Dionysius	dionysius	1	Dionysius
Maximus of Alexandria	maximus-of-alexandria	1	Maximus of Alexandria
Meletius of Lycopolis	meletius-of-lycopolis	1	Meletius of Lycopolis
Achillas	achillas	1	Achillas
Ignatius	ignatius	1	Ignatius (passes through)
Polycrates	polycrates	1	Polycrates (c.180-196)
Papias	papias	1	Papias (Hierapolis)
unnamed successor bishops	unnamed-successor-bishops	1	unnamed successor bishops
Antipas	antipas	1	Antipas (martyr, trad.; Rev 2:13)
Lydia of Thyatira	lydia-of-thyatira	1	Lydia of Thyatira (converted at Philippi, Acts 16:14)
Damaris	damaris	1	Damaris
Aristides	aristides	1	Aristides (apologist, ~c.125)
Scillitan Martyrs	scillitan-martyrs	1	Scillitan Martyrs (180)
unnamed bishop	unnamed-bishop	1	unnamed bishop
Perpetua	perpetua	1	Perpetua (d. 203)
Felicitas	felicitas	1	Felicitas (d. 203)
Donatus	donatus	1	Donatus (predecessor)
Privatus	privatus	1	Privatus
Cyprian legacy	cyprian-legacy	1	Cyprian legacy
Felix of Aptunga	felix-of-aptunga	1	Felix of Aptunga
Caecilianus	caecilianus	1	Caecilianus (Catholic)
unnamed missionaries from Asia Minor	unnamed-missionaries-from-asia-minor	1	unnamed missionaries from Asia Minor
Trajan	trajan	1	Trajan (emperor)
Alexander of Constantinople	alexander-of-constantinople	1	Alexander of Constantinople
Alban	alban	1	Alban (martyr, Verulamium)
Adelfius	adelfius	1	Adelfius
Restitutus of London	restitutus-of-london	1	Restitutus of London
unnamed missionaries from Edessa	unnamed-missionaries-from-edessa	1	unnamed missionaries from Edessa
Shapur II	shapur-ii	1	Shapur II (oppressor)
Shahdost	shahdost	1	Shahdost (bishop, martyred 342)
Barbashmin	barbashmin	1	Barbashmin (martyred 346)
Babu	babu	1	Babu (bishop)
Vologeses	vologeses	1	Vologeses (bishop)
Nymphas	nymphas	1	Nymphas
Philemon	philemon	1	Philemon
Marcellus	marcellus	1	Marcellus (restored briefly)
Synesius of Cyrene	synesius-of-cyrene	1	Synesius of Cyrene (young)
unnamed Christians	unnamed-christians	1	unnamed Christians
Vetius Epagathus	vetius-epagathus	1	Vetius Epagathus
Sanctus of Vienne	sanctus-of-vienne	1	Sanctus of Vienne
Decian persecution response	decian-persecution-response	1	Decian persecution response
unnamed successors to Gregory Thaumaturgus	unnamed-successors-to-gregory-thaumaturgus	1	unnamed successors to Gregory Thaumaturgus (d.~270)
Merocles	merocles	1	Merocles (bishop)
Auxentius	auxentius	1	Auxentius (bishop from 355, Arian)
Thomas the Apostle	thomas-the-apostle	1	Thomas the Apostle (trad.)
Meropius	meropius	1	Meropius (merchant)
Aedesius	aedesius	1	Aedesius
young King Ezana	young-king-ezana	1	young King Ezana
Luke	luke	1	Luke
Ephesian elders	ephesian-elders	1	Ephesian elders (summoned here)
unnamed islanders	unnamed-islanders	1	unnamed islanders
Publius and unnamed bishops	publius-and-unnamed-bishops	1	Publius (trad.) and unnamed bishops
Marcion of Sinope	marcion-of-sinope	1	Marcion of Sinope (young)
Husik I	husik-i	1	Husik I
Fructuosus of Tarragona	fructuosus-of-tarragona	1	Fructuosus of Tarragona (bishop, martyred 259)
unnamed bishops of Tarraco	unnamed-bishops-of-tarraco	1	unnamed bishops of Tarraco
unknown house church leader	unknown-house-church-leader	1	unknown house church leader
Donatist rival bishop	donatist-rival-bishop	1	Donatist rival bishop
Andrew	andrew	1	Andrew
James	james	1	James
Levi/Matthew	levi-matthew	1	Levi/Matthew
first bishop	first-bishop	1	first bishop (sent from Constantinople)
Joseph	joseph	1	Joseph
unnamed brothers and sisters	unnamed-brothers-and-sisters	1	unnamed brothers and sisters
Constantius Chlorus	constantius-chlorus	1	Constantius Chlorus (emperor in Britain)
Eucharius	eucharius	1	Eucharius (bishop, trad.)
Marcellus of Merida	marcellus-of-merida	1	Marcellus of Merida (lapsed bishop, Decian era)
Maternus or successor	maternus-or-successor	1	Maternus (bishop) or successor
Irenaeus of Sirmium	irenaeus-of-sirmium	1	Irenaeus of Sirmium (bishop)
unnamed deacons	unnamed-deacons	1	unnamed deacons
unnamed elders appointed across Crete	unnamed-elders-appointed-across-crete	1	unnamed elders appointed across Crete
Agricius	agricius	1	Agricius (bishop)
unnamed Samaritan converts	unnamed-samaritan-converts	1	unnamed Samaritan converts
unnamed Samaritan community	unnamed-samaritan-community	1	unnamed Samaritan community
Themison	themison	1	Themison
Donatus of Casae Nigrae	donatus-of-casae-nigrae	1	Donatus of Casae Nigrae
rival Donatist bishop	rival-donatist-bishop	1	rival Donatist bishop
the Twelve	the-twelve	1	the Twelve
Martha	martha	1	Martha
Lazarus	lazarus	1	Lazarus
Tabitha/Dorcas	tabitha-dorcas	1	Tabitha/Dorcas
Thaddaeus	thaddaeus	1	Thaddaeus (Addai)
King Abgar V	king-abgar-v	1	King Abgar V (trad.)
Abgar VIII	abgar-viii	1	Abgar VIII (Christian king)
Shahduost	shahduost	1	Shahduost (Catholicos, d.342)
multiple Catholicoi martyred	multiple-catholicoi-martyred	1	multiple Catholicoi martyred
Cleopas	cleopas	1	Cleopas
unnamed disciple	unnamed-disciple	1	unnamed disciple
Januarius bishop of Benevento	januarius-bishop-of-benevento	1	Januarius (Gennaro) bishop of Benevento (martyred 305 AD near Naples)
Holy Family	holy-family	1	Holy Family (Flight to Egypt trad.)
successors of Pachomius	successors-of-pachomius	1	successors of Pachomius
Apollinaris	apollinaris	1	Apollinaris (trad. 1st bishop; trad. sent by Peter)
unnamed freed demoniacs	unnamed-freed-demoniacs	1	unnamed freed demoniacs
Afra	afra	1	Afra (martyr, c.304 AD)
the Forty Martyrs	the-forty-martyrs	1	the Forty Martyrs (martyred c.311 AD)
veneration of the Forty Martyrs begins	veneration-of-the-forty-martyrs-begins	1	veneration of the Forty Martyrs begins
Felix	felix	1	Felix (bishop)
Ossius of Cordoba	ossius-of-cordoba	1	Ossius of Cordoba
multiple bishops from across Spain	multiple-bishops-from-across-spain	1	multiple bishops from across Spain
Vincent of Saragossa	vincent-of-saragossa	1	Vincent of Saragossa (martyred here c.304 AD)
