city_id_suggested	city_ancient	country_modern	city_modern_mode	lat_mode	lon_mode	location_precision_mode	rows	year_min	year_max	city_modern_variants	lat_variants	lon_variants	precision_variants	planted_scholarly_variants
dura-europos-salihiye-submerged	Dura-Europos	Syria	Salihiye (submerged)	34.75000	40.73330	approx_city	17	0100	0260	1	1	1	1	1
eboracum-york	Eboracum	United Kingdom	York	53.95900	-1.08150	approx_city	26	0100	0350	1	1	1	1	1
edessa-sanl-urfa	Edessa	Türkiye	Şanlıurfa	37.15900	38.79690	approx_city	62	0040	0350	2	2	1	1	2
elvira-iliberis-near-granada	Elvira	Spain	Iliberis (near Granada)	37.17730	-3.59860	approx_city	16	0200	0350	1	1	1	1	1
emerita-augusta-merida	Emerita Augusta	Spain	Mérida	38.91850	-6.34300	approx_city	30	0060	0350	1	1	1	1	1
emesa-homs	Emesa	Syria	Homs	34.72890	36.71750	approx_city	26	0100	0350	1	1	1	1	1
emmaus-emmaus-location-disputed	Emmaus	Palestinian Territories	Emmaus (location disputed)	31.83900	35.00200	approx_region	32	0040	0350	2	1	1	1	1
ephesus-selcuk-area	Ephesus	Türkiye	Selcuk area	37.94990	27.36360	exact	31	0050	0350	1	1	1	1	1
flavia-neapolis-nablus	Flavia Neapolis	Palestinian Territories	Nablus	32.22140	35.25440	approx_city	32	0040	0350	1	1	1	1	1
gadara-umm-qays	Gadara	Jordan	Umm Qays	32.65500	35.68200	approx_city	32	0040	0350	1	1	1	1	1
gangra-cank-r	Gangra	Türkiye	Çankırı	40.60130	33.61340	approx_city	16	0200	0350	1	1	1	1	1
gaza-gaza	Gaza	Palestinian Territories	Gaza	31.50000	34.46670	approx_city	32	0040	0350	1	1	1	1	1
gerasa-jerash	Gerasa	Jordan	Jerash	32.27280	35.89560	approx_city	26	0100	0350	1	1	1	1	1
gortyna-gortyna	Gortyna	Greece	Gortyna	35.06440	24.94300	approx_city	32	0040	0350	1	1	1	1	1
heliopolis-baalbek	Heliopolis	Lebanon	Baalbek	34.00090	36.21100	approx_city	26	0100	0350	1	1	1	1	1
hierapolis-pamukkale	Hierapolis	Türkiye	Pamukkale	37.92500	29.12500	approx_city	30	0060	0350	1	1	1	1	1
hippo-regius-annaba	Hippo Regius	Algeria	Annaba	36.90000	7.76670	approx_city	26	0100	0350	1	1	1	1	1
hispalis-seville	Hispalis	Spain	Seville	37.38910	-5.98450	approx_city	26	0100	0350	1	1	1	1	1
iconium-konya	Iconium	Türkiye	Konya	37.86670	32.48330	approx_city	31	0050	0350	1	1	1	1	1
jerusalem-jerusalem	Jerusalem	Israel	Jerusalem	31.7683	35.2137	approx_city	32	0040	0350	1	1	1	2	1
joppa-jaffa-tel-aviv-yafo	Joppa	Israel	Jaffa (Tel Aviv-Yafo)	32.05780	34.75240	approx_city	42	0040	0350	1	2	2	2	1
laodicea-denizli-area	Laodicea	Türkiye	Denizli area	37.83330	29.11670	approx_city	29	0060	0340	1	1	1	1	1
laodicea-ad-mare-latakia	Laodicea ad Mare	Syria	Latakia	35.53170	35.79170	approx_city	32	0040	0350	1	1	1	1	1
leptis-magna-leptis-magna-near-al-khums	Leptis Magna	Libya	Leptis Magna (near Al Khums)	32.63890	14.28170	approx_city	26	0100	0350	1	1	1	1	1
londinium-london	Londinium	UK	London	51.50740	-0.12780	approx_city	17	0190	0350	1	1	1	1	1
lugdunum-lyon	Lugdunum	France	Lyon	45.74850	4.84670	exact	22	0140	0350	1	1	1	1	1
lystra-hatunsaray	Lystra	Türkiye	Hatunsaray	37.98330	32.53330	approx_city	31	0050	0350	1	1	1	1	1
malabar-coast-india-kerala-region	Malabar Coast (India)	India	Kerala region	10.85050	76.27110	region_only	30	0060	0350	1	1	1	1	1
malta-valletta-area	Malta	Malta	Valletta area	35.89720	14.51220	approx_city	15	0060	0200	1	1	1	1	1
massilia-marseille	Massilia	France	Marseille	43.29650	5.36980	approx_city	20	0160	0350	1	1	1	1	1
mediolanum-milan	Mediolanum	Italy	Milan	45.46540	9.18660	approx_city	31	0050	0350	1	1	1	1	2
memphis-mit-rahina-near-cairo	Memphis	Egypt	Mit Rahina (near Cairo)	29.84740	31.25640	approx_city	32	0040	0350	1	1	1	1	1
miletus-milet	Miletus	Türkiye	Milet	37.52280	27.27660	approx_city	30	0060	0350	1	1	1	1	1
mtskheta-mtskheta	Mtskheta	Georgia	Mtskheta	41.84470	44.72090	approx_city	8	0280	0350	1	1	1	1	1
myra-demre	Myra	Türkiye	Demre	36.24400	29.98400	approx_city	31	0050	0350	1	1	1	1	1
naissus-nis	Naissus	Serbia	Niš	43.32090	21.89580	approx_city	26	0100	0350	1	1	1	1	1
narbo-narbonne	Narbo	France	Narbonne	43.18390	3.00270	approx_city	26	0100	0350	1	1	1	1	1
nazareth-nazareth	Nazareth	Israel	Nazareth	32.69960	35.29500	approx_city	32	0040	0350	1	1	1	1	1
nazianzus-bekarlar-near-guzelyurt	Nazianzus	Türkiye	Bekarlar (near Güzelyurt)	38.19810	34.39080	approx_city	10	0260	0350	1	1	1	1	1
neapolis-naples	Neapolis	Italy	Naples	40.85180	14.26810	approx_city	32	0040	0350	1	1	1	1	1
neocaesarea-niksar	Neocaesarea	Türkiye	Niksar	40.59130	36.96000	approx_city	30	0060	0350	1	1	1	1	2
nicaea-iznik	Nicaea	Türkiye	Iznik	40.42890	29.72140	approx_city	26	0100	0350	1	1	1	1	2
nicomedia-izmit	Nicomedia	Türkiye	Izmit	40.76499	29.92928	exact	26	0100	0350	1	1	1	1	1
nicopolis-nicopolis-preveza-area	Nicopolis	Greece	Nicopolis (Preveza area)	38.96670	20.75000	approx_city	31	0050	0350	1	1	1	1	1
nisibis-nusaybin	Nisibis	Türkiye	Nusaybin	37.06080	41.21750	approx_city	47	0100	0350	1	2	2	1	2
ostia-ostia-antica	Ostia	Italy	Ostia Antica	41.75660	12.28560	approx_city	32	0040	0350	1	1	1	1	1
oxyrhynchus-el-bahnasa	Oxyrhynchus	Egypt	El Bahnasa	28.53900	30.66660	approx_city	26	0100	0350	1	1	1	1	1
palmyra-tadmur	Palmyra	Syria	Tadmur	34.55190	38.26630	approx_city	26	0100	0350	1	1	1	1	1
paphos-paphos	Paphos	Cyprus	Paphos	34.77570	32.42430	approx_city	32	0040	0350	1	1	1	1	1
patmos-patmos	Patmos	Greece	Patmos	37.32080	26.54870	approx_city	30	0060	0350	1	1	1	1	1
pella-pella-tabaqat-fahl	Pella	Jordan	Pella (Tabaqat Fahl)	32.45190	35.61810	approx_city	32	0040	0350	1	1	1	1	1
pepuza-near-usak-exact-location-debated	Pepuza	Türkiye	near Uşak (exact location debated)	38.67800	29.40600	approx_city	21	0150	0350	1	1	1	1	1
perga-aksu	Perga	Türkiye	Aksu	36.96130	30.85080	approx_city	32	0040	0350	1	1	1	1	1
pergamon-bergama	Pergamon	Türkiye	Bergama	39.13200	27.18390	exact	30	0060	0350	1	1	1	1	1
petra-petra	Petra	Jordan	Petra	30.32850	35.44440	approx_city	32	0040	0350	1	1	1	1	1
philadelphia-alasehir	Philadelphia	Türkiye	Alaşehir	38.35240	28.50670	approx_city	30	0060	0350	1	1	1	1	1
philadelphia-arabia-amman	Philadelphia (Arabia)	Jordan	Amman	31.95220	35.93300	approx_city	32	0040	0350	1	1	1	1	1
philippi-filippoi	Philippi	Greece	Filippoi	41.01389	24.28222	exact	31	0050	0350	1	1	1	1	1
philippopolis-plovdiv	Philippopolis	Bulgaria	Plovdiv	42.13540	24.74530	approx_city	26	0100	0350	1	1	1	1	1
pisidian-antioch-yalvac	Pisidian Antioch	Türkiye	Yalvac	38.12000	31.55440	approx_city	32	0040	0350	1	1	1	1	1
ptolemais-akko	Ptolemais	Israel	Akko	32.92620	35.06930	approx_city	31	0050	0350	1	1	1	1	1
puteoli-pozzuoli	Puteoli	Italy	Pozzuoli	40.81970	14.12070	approx_city	30	0060	0350	1	1	1	1	1
ravenna-ravenna	Ravenna	Italy	Ravenna	44.41840	12.20350	approx_city	26	0100	0350	1	1	1	1	1
rhegium-reggio-calabria	Rhegium	Italy	Reggio Calabria	38.11030	15.64790	approx_city	16	0050	0200	1	1	1	1	1
rome-rome	Rome	Italy	Rome	41.89551	12.48230	exact	32	0040	0350	1	1	1	1	1
salona-solin-near-split	Salona	Croatia	Solin (near Split)	43.54000	16.49000	approx_city	32	0040	0350	1	1	1	1	1
samaria-sebastia	Samaria	Israel	Sebastia	32.2767	35.1884	approx_city	8	0040	0110	1	1	1	1	1
samaria-sebastiyah	Samaria	Palestinian Territories	Sebastiyah	32.26970	35.19140	approx_city	24	0120	0350	1	1	1	1	1
samosata-samsat-submerged	Samosata	Türkiye	Samsat (submerged)	37.58530	38.52810	approx_city	32	0040	0350	1	1	1	1	1
sardis-sart	Sardis	Türkiye	Sart	38.48800	28.03160	approx_city	30	0060	0350	1	1	1	1	1
scythopolis-bet-shean	Scythopolis	Israel	Bet She'an	32.50260	35.50120	approx_city	32	0040	0350	1	1	1	1	1
sebaste-sivas	Sebaste	Türkiye	Sivas	39.74770	37.01790	approx_city	8	0280	0350	1	1	1	1	1
seleucia-pieria-cevlik	Seleucia Pieria	Türkiye	Çevlik	36.11670	35.93330	approx_city	32	0040	0350	1	1	1	1	1
seleucia-ctesiphon-al-madain	Seleucia-Ctesiphon	Iraq	Al-Madain	33.09560	44.57590	approx_city	52	0100	0350	1	2	2	1	2
serdica-sofia	Serdica	Bulgaria	Sofia	42.69770	23.32190	approx_city	26	0100	0350	1	1	1	1	1
sidon-sidon-saida	Sidon	Lebanon	Sidon (Saida)	33.56340	35.37060	approx_city	32	0040	0350	1	1	1	1	1
sinope-sinop	Sinope	Türkiye	Sinop	42.02310	35.15340	approx_city	32	0040	0350	1	1	1	1	1
sirmium-sremska-mitrovica	Sirmium	Serbia	Sremska Mitrovica	44.96670	19.61670	approx_city	26	0100	0350	1	1	1	1	1
smyrna-izmir	Smyrna	Türkiye	Izmir	38.41270	27.13840	exact	30	0060	0350	1	1	1	1	1
syracuse-syracuse	Syracuse	Italy	Syracuse	37.07510	15.28660	approx_city	31	0050	0350	1	1	1	1	1
tarraco-tarragona	Tarraco	Spain	Tarragona	41.11890	1.24450	approx_city	30	0060	0350	1	1	1	1	1
tarsus-tarsus	Tarsus	Türkiye	Tarsus	36.91670	34.88330	approx_city	32	0040	0350	1	1	1	1	1
thebes-luxor	Thebes	Egypt	Luxor	25.68720	32.63960	approx_city	16	0200	0350	1	1	1	1	1
thessalonica-thessaloniki	Thessalonica	Greece	Thessaloniki	40.64010	22.94440	exact	31	0050	0350	1	1	1	1	1
thyatira-akhisar	Thyatira	Türkiye	Akhisar	38.91840	27.83590	exact	30	0060	0350	1	2	2	2	2
tiberias-tiberias	Tiberias	Israel	Tiberias	32.79560	35.53030	approx_city	32	0040	0350	1	1	1	1	1
tolosa-toulouse	Tolosa	France	Toulouse	43.60470	1.44420	approx_city	26	0100	0350	1	1	1	1	1
tomis-constanta	Tomis	Romania	Constanta	44.15980	28.63480	approx_city	26	0100	0350	1	1	1	1	1
trapezus-trabzon	Trapezus	Türkiye	Trabzon	41.00150	39.71780	approx_city	32	0040	0350	1	1	1	1	1
troas-alexandria-troas	Troas	Türkiye	Alexandria Troas	39.78330	26.08330	approx_city	31	0050	0350	1	1	1	1	1
tyre-tyre-sur	Tyre	Lebanon	Tyre (Sur)	33.2741	35.1949	exact	31	0050	0350	1	1	1	1	1
vagharshapat-vagharshapat-etchmiadzin	Vagharshapat	Armenia	Vagharshapat (Etchmiadzin)	40.16500	44.29210	approx_city	11	0250	0350	1	1	1	1	1
valentia-valencia	Valentia	Spain	Valencia	39.46990	-0.37630	approx_city	26	0100	0350	1	1	1	1	1
vienne-vienne	Vienne	France	Vienne	45.52390	4.87470	approx_city	20	0160	0350	1	1	1	1	1
