work_id	title_display	title_original	work_type	language_original	work_kind	notes
de-spectaculis	De Spectaculis	De Spectaculis	other	Latin	single_work	Tertullian's treatise c. 197-202 arguing that Christians must abstain from public games, theater, and gladiatorial combat as incompatible with their baptismal vow.
de-trinitate-novatian	De Trinitate	De Trinitate	other	Latin	single_work	Novatian's treatise on the Trinity c. 250; the first systematic Latin work on trinitarian theology; affirms the full divinity of Father, Son, and Holy Spirit; defends Christ's true incarnation and real suffering; orthodox in doctrine despite its author's later schism.
de-unitate-ecclesiae	De Ecclesiae Catholicae Unitate (On the Unity of the Church)	De Catholicae Ecclesiae Unitate	other	Latin	single_work	Cyprian's most influential treatise c. 251; argues that the unity of the Church is grounded in the unity of the episcopate; the see of Peter is the source and origin of episcopal unity; each bishop holds the whole of the one episcopate in solidum; schism and heresy are worse than apostasy because they rend the body of Christ; foundational text for Catholic ecclesiology.
demonstrations-of-aphrahat	Demonstrations	ܬܚܘ̈ܝܬܐ	homily	Syriac	collection	Collection of 23 homilies by Aphrahat the Persian Sage; first ten (337) on Christian life and church order; next twelve (344) on persecution, Judaism, and eschatology; final demonstration (c. 345) on the grape; the earliest substantial corpus of Syriac Christian theology.
dialogue-with-trypho	Dialogue with Trypho	Διάλογος πρὸς Τρύφωνα	other	Greek	single_work	Justin Martyr's major apologetic dialogue c. 155-160 with the Jew Trypho; argues for OT fulfillment in Christ; identifies the Eucharist as the fulfillment of Malachi's pure offering; defends the virgin birth against Jewish objection.
diatessaron	Diatessaron	Τὸ Διὰ Τεσσάρων	other	Syriac	single_work	Tatian the Assyrian's gospel harmony (c. 170) weaving the four canonical gospels into a single continuous narrative; the standard gospel text of the Syriac-speaking church until the 5th century; known through Ephrem's commentary and later witnesses.
didascalia-apostolorum	Didascalia Apostolorum	ܕܝܕܣܩܠܝܐ ܕܫܠܝ̈ܚܐ	rule	Greek	single_work	Church order composed c. 230 in Syria; survives complete only in Syriac translation; covers bishops' authority, deacons, deaconesses, penance, baptismal anointing, fasting, eucharist, and catechumenate; later incorporated into the first six books of the Apostolic Constitutions.
ecclesiastical-history-of-eusebius	Ecclesiastical History	Ἐκκλησιαστικὴ Ἱστορία	chronicle	Greek	single_work	Late antique church history used here for explicit memory of Peter and Paul suffering in Rome under Nero.
embassy-for-the-christians	Embassy for the Christians	Πρεσβεία περὶ Χριστιανῶν	other	Greek	single_work	Apology of Athenagoras c. 177 addressed to Marcus Aurelius and Commodus, defending Christian monotheism, Logos theology, and ethics.
epistle-of-barnabas	Epistle of Barnabas	Βαρνάβα Ἐπιστολή	letter	Greek	single_work	Early Christian letter of uncertain authorship c. 70-130 with extensive baptismal typology and anti-Jewish exegesis.
epistle-of-james	Epistle of James	Ἰακώβου	letter	Greek	single_work	General epistle associated with James and notable for its moral exhortation.
epistle-of-jude	Epistle of Jude	Ἰούδα	letter	Greek	single_work	Short general epistle associated with Jude and exhorting believers to contend for the faith.
epistle-of-polycarp-to-philippians	Epistle of Polycarp to the Philippians	Πολυκάρπου πρὸς Φιλιππησίους	letter	Greek	single_work	Letter of Polycarp of Smyrna to the church at Philippi c. 110-135, warning against heresy and preserving apostolic tradition.
epistle-to-philemon	Epistle to Philemon	Πρὸς Φιλήμονα	letter	Greek	single_work	Personal Pauline letter concerning Onesimus and a household church network.
epistle-to-the-colossians	Epistle to the Colossians	Πρὸς Κολοσσαεῖς	letter	Greek	single_work	Pauline letter addressed to believers in Colossae.
epistle-to-the-ephesians	Epistle to the Ephesians	Πρὸς Ἐφεσίους	letter	Greek	single_work	Pauline letter traditionally associated with Ephesus and the Pauline imprisonment period.
epistle-to-the-galatians	Epistle to the Galatians	Πρὸς Γαλάτας	letter	Greek	single_work	Pauline letter central to disputes over Gentile inclusion and circumcision.
epistle-to-the-hebrews	Epistle to the Hebrews	Πρὸς Ἑβραίους	letter	Greek	single_work	Homiletic epistle traditionally transmitted within the New Testament corpus.
epistle-to-the-philippians	Epistle to the Philippians	Πρὸς Φιλιππησίους	letter	Greek	single_work	Pauline letter addressed to the believers in Philippi.
epistle-to-the-romans	Epistle to the Romans	Πρὸς Ῥωμαίους	letter	Greek	single_work	Pauline letter addressed to the believers in Rome.
epistle-to-titus	Epistle to Titus	Πρὸς Τίτον	letter	Greek	single_work	Pastoral epistle associated with Titus and the churches in Crete.
epistles-of-ignatius	Epistles of Ignatius	Ἰγνατίου Ἐπιστολαί	letter	Greek	collection	Seven epistles written by Ignatius of Antioch en route to martyrdom in Rome c. 110.
epistula-64-cyprian	Epistula 64 (Letter to Fidus on Infant Baptism)	Epistula LXIV	letter	Latin	single_work	Cyprian's letter c. 252 to Bishop Fidus in response to the question of whether baptism should be delayed until the eighth day after birth (by analogy with circumcision); the Council of Carthage 252 unanimously ruled that baptism should not be delayed — infants may be baptized as early as the second or third day; key witness for the assumption of infant baptism as standard practice and the council's reasoning that God's grace should not be withheld from any soul.
epistula-73-cyprian	Epistula 73 (Letter to Jubaianus on Rebaptism)	Epistula LXXIII	letter	Latin	single_work	Cyprian's letter c. 256 to Bishop Jubaianus defending the rebaptism of heretics; argues that there is no baptism outside the Church because the Holy Spirit is absent from heretical communities; the one baptism belongs only to the one Church; extensively cited at the Council of Carthage 256; opposed by Pope Stephen I who held that heretical baptism in trinitarian form was valid.
exhortation-to-martyrdom	Exhortation to Martyrdom	Εἰς μαρτύριον προτρεπτικός	other	Greek	single_work	Origen's treatise addressed to his patron Ambrose and the presbyter Protoctetus c. 235 during the persecution under Maximinus Thrax; exhorts them to embrace martyrdom rather than deny the faith; affirms free will, the vanity of idolatry, and the eschatological reward of the martyrs.
first-apology-of-justin	First Apology	Ἀπολογία ὑπὲρ Χριστιανῶν	other	Greek	single_work	Justin Martyr defense of Christian faith addressed to Emperor Antoninus Pius c. 155.
first-enoch	1 Enoch	1 Enoch	other	Aramaic / Ethiopic	single_work	Composite apocalyptic work influential in Second Temple Judaism and echoed in Jude.
first-epistle-of-clement	First Epistle of Clement	Αʹ Κλήμεντος	letter	Greek	single_work	Late first-century Roman Christian letter used here as an early witness to Peter and Paul as exemplary sufferers.
first-epistle-of-john	First Epistle of John	Ἰωάννου Αʹ	letter	Greek	single_work	Johannine epistle emphasizing confession of Jesus as the Christ and the Son of God.
first-epistle-of-peter	First Epistle of Peter	Πέτρου Αʹ	letter	Greek	single_work	General epistle addressed to believers across several provinces of Asia Minor.
first-epistle-to-the-corinthians	First Epistle to the Corinthians	Πρὸς Κορινθίους Αʹ	letter	Greek	single_work	Pauline letter addressing the church in Corinth and preserving early resurrection tradition.
first-epistle-to-the-thessalonians	First Epistle to the Thessalonians	Πρὸς Θεσσαλονικεῖς Αʹ	letter	Greek	single_work	Pauline letter addressed to the church in Thessalonica.
first-epistle-to-timothy	First Epistle to Timothy	Πρὸς Τιμόθεον Αʹ	letter	Greek	single_work	Pastoral epistle associated with Timothy and Pauline instruction regarding Ephesus.
gospel-of-john	Gospel according to John	Κατὰ Ἰωάννην	other	Greek	single_work	Textual witness for ministry-period claims.
gospel-of-luke	Gospel according to Luke	Κατὰ Λουκᾶν	other	Greek	single_work	Textual witness for ministry-period claims.
gospel-of-mark	Gospel according to Mark	Κατὰ Μᾶρκον	other	Greek	single_work	Included as canonical work identity because the seed dataset cites Mark as witness to ministry-period events.
gospel-of-matthew	Gospel according to Matthew	Κατὰ Ματθαῖον	other	Greek	single_work	Textual witness for ministry-period claims.
homilies-on-jeremiah-origen	Homilies on Jeremiah	Εἰς τὸν Ἱερεμίαν ὁμιλίαι	other	Greek	single_work	Origen's 20 surviving homilies on Jeremiah delivered in Caesarea c. 238–244; the only Origenian homiletical series surviving complete in Greek; rich in allegorical exegesis, penance theology, and the prophetic critique of external religion without inner conversion.
homilies-on-leviticus-origen	Homilies on Leviticus	Εἰς τὸ Λευιτικόν ὁμιλίαι	other	Greek	single_work	Origen's 16 homilies on Leviticus delivered in Caesarea c. 238–244; surviving in Rufinus's Latin translation; key source for Origen's eucharistic and sacrificial theology, baptismal purification, priestly typology, and penance; extensively allegorizes the Levitical rites as types of Christ and the church.
homilies-on-luke-origen	Homilies on Luke	Εἰς τὸ κατὰ Λουκᾶν ὁμιλίαι	other	Greek	single_work	Origen's 39 homilies on Luke surviving in Jerome's Latin translation, delivered in Caesarea c. 233–234; key source for Origen's Mariology (perpetual virginity of Mary), infant baptism, and allegorical exegesis of the infancy and ministry narratives.
homily-on-the-passover	Homily on the Passover	Περὶ Πάσχα	other	Greek	single_work	Melito of Sardis's homily c. 160-170, earliest extant Christian homily, presenting Christ as the Passover lamb and pre-existent Lord incarnate.
hymns-against-heresies-ephrem	Hymns against Heresies	ܡܕܪ̈ܫܐ ܕܥܠ ܗܪ̈ܣܝܣ	other	Syriac	collection	Ephrem the Syrian's polemical hymn cycle (c. 363–373) refuting Bardaisan, Marcion, and Mani; defends orthodox christology, creation, and free will against deterministic and dualistic systems.
hymns-on-faith-ephrem	Hymns on Faith	ܡܕܪ̈ܫܐ ܕܥܠ ܗܝܡܢܘܬܐ	other	Syriac	collection	Ephrem the Syrian's hymn cycle on faith (c. 363–373); explores the Trinity, incarnation, baptism, and eucharist through paradox and symbol; composed at Edessa after the fall of Nisibis; a cornerstone of Syriac Nicene theology.
hymns-on-nativity-ephrem	Hymns on the Nativity	ܡܕܪ̈ܫܐ ܕܥܠ ܒܝܬ ܝܠܕܐ	other	Syriac	collection	Ephrem the Syrian's hymn cycle on Christ's birth (c. 363–373); rich Marian theology, incarnation paradoxes, and typological connections between Eve and Mary, Eden and Bethlehem.
hymns-on-paradise-ephrem	Hymns on Paradise	ܡܕܪ̈ܫܐ ܕܥܠ ܦܪܕܝܣܐ	other	Syriac	collection	Ephrem the Syrian's 15-hymn cycle on Paradise (c. 363–373); cosmic typology connecting Eden, the Church, and eschatological restoration; symbolic theology of mountain, tree, and garment.
jubilees	Jubilees	Book of Jubilees	other	Hebrew / Ethiopic	single_work	Retelling of Genesis and Exodus with calendrical and covenantal emphases.
letter-to-diognetus	Letter to Diognetus	Πρὸς Διόγνητον	letter	Greek	single_work	Anonymous apology c. 130-200 addressed to a pagan inquirer describing Christians as a third race living in the world but not of it; contains significant Logos theology.
marcion-antitheses	Antitheses	Ἀντιθέσεις	other	Greek	single_work	Lost work by Marcion of Sinope, c. 140–144 AD. A systematic presentation of contradictions between the God of the Old Testament (just, wrathful) and the God revealed by Jesus (good, merciful). Foundational document of Marcionite theology. Known through refutations by Irenaeus (AH 1.27) and Tertullian (Against Marcion).
marcion-gospel	Marcion's Gospel	Εὐαγγέλιον (Μαρκίωνος)	other	Greek	single_work	Marcion's edited version of the Gospel of Luke, c. 140–144 AD; the first written Christian canon. Marcion removed all references to the Jewish God, genealogies, birth narratives, and OT citations. Known through Irenaeus AH 1.27.2, 3.12 and Tertullian's Against Marcion Book 4.
martyrdom-of-polycarp	Martyrdom of Polycarp	Μαρτύριον Πολυκάρπου	acta	Greek	single_work	Earliest Christian martyrdom acta from the church at Smyrna c. 155-156 recording Polycarp's death.
on-christ-and-antichrist	On Christ and the Antichrist	Περὶ τοῦ Ἀντιχρίστου	other	Greek	single_work	Hippolytus's treatise c. 200 on eschatology and the Antichrist; one of the earliest surviving complete patristic works on the subject; interprets Daniel and Revelation; affirms bodily resurrection and final judgment; opposes imminent apocalypticism.
on-prayer-origen	On Prayer	Περὶ Εὐχῆς	other	Greek	single_work	Origen's treatise on prayer composed in Caesarea c. 233–234; discusses the nature, necessity, and theology of prayer; defends free will against determinism; contains a detailed exegesis of the Lord's Prayer; affirms the Trinity and prayer addressed to the Father through the Son.
on-the-resurrection-of-the-dead	On the Resurrection of the Dead	Περὶ ἀναστάσεως νεκρῶν	other	Greek	single_work	Athenagoras's philosophical defense of bodily resurrection c. 177.
oration-to-the-greeks	Oration to the Greeks	Λόγος πρὸς Ἕλληνας	other	Greek	single_work	Tatian the Assyrian's polemical address c. 155-165 against Greco-Roman religion and philosophy; defends Christian resurrection hope and Logos theology; student of Justin Martyr.
paedagogus	The Instructor	Παιδαγωγός	other	Greek	single_work	Clement of Alexandria's three-book moral formation work c. 198 AD, guiding newly baptized Christians in ascetic discipline, sacramental life, and ethical formation; rich source for baptismal illumination, eucharist, fasting, marriage, and avoidance of public spectacles.
papias-fragments	Exposition of Dominical Oracles	Λογίων κυριακῶν ἐξηγήσεως	other	Greek	single_work	Papias of Hierapolis's five-book exposition c. 95-110 preserved in fragments by Eusebius and Irenaeus; key witness for oral apostolic tradition, teacher succession, Matthew's logia, and millenarianism.
philostorgius-ecclesiastical-history	Ecclesiastical History (Philostorgius)	Ἐκκλησιαστικὴ Ἱστορία	chronicle	Greek	single_work	Arian church historian Philostorgius's 12-book history (c. 425) covering 300–425; survives mostly in Photius's epitome; key source for Theophilus the Indian's mission to Himyar (3.4–6) and Constantius II's religious diplomacy.
protrepticus	Exhortation to the Heathen	Προτρεπτικὸς πρὸς Ἕλληνας	other	Greek	single_work	Clement of Alexandria's evangelistic address to pagans c. 195 AD; presents Christ as the new song and divine Logos calling all humanity to conversion and baptism.
psalms-of-solomon	Psalms of Solomon	Ψαλμοὶ Σολομῶντος	other	Greek / Hebrew tradition	single_work	Collection of Jewish psalms with strong eschatological and Davidic expectations.
quis-dives-salvetur	Quis Dives Salvetur	Τίς ὁ σῳζόμενος πλούσιος	other	Greek	single_work	Clement of Alexandria's homily c. 195–215 AD on Mark 10:17–31 (the rich young ruler). Argues that wealth is not intrinsically evil but must be used through almsgiving as stewards of God's gifts; includes the story of John restoring a lapsed youth (ch. 42), supporting post-baptismal repentance.
refutation-of-all-heresies	Refutation of All Heresies	Φιλοσοφούμενα ἢ κατὰ πασῶν αἱρέσεων ἔλεγχος	other	Greek	single_work	Major heresiological work attributed to Hippolytus c. 222–225 (also known as Philosophoumena); ten books refuting pagan philosophies and Christian heresies; Books 9–10 provide unique information about Roman church disputes under Zephyrinus and Callistus; affirms Logos theology against modalism.
revelation-of-john	Revelation of John	Ἀποκάλυψις Ἰωάννου	other	Greek	single_work	Apocalyptic work associated with Patmos and the late first-century church.
rufinus-ecclesiastical-history	Ecclesiastical History (Rufinus)	Historia Ecclesiastica	chronicle	Latin	single_work	Rufinus of Aquileia's continuation of Eusebius's Church History in two books (HE 10–11, c. 402); primary Western source for Frumentius and the christianization of Aksum (1.9); covers events from Nicaea to Theodosius I.
second-epistle-of-john	Second Epistle of John	Ἰωάννου Βʹ	letter	Greek	single_work	Short Johannine epistle addressed to the elect lady and her children.
second-epistle-of-peter	Second Epistle of Peter	Πέτρου Βʹ	letter	Greek	single_work	General epistle associated with Peter and warning against false teachers.
second-epistle-to-the-corinthians	Second Epistle to the Corinthians	Πρὸς Κορινθίους Βʹ	letter	Greek	single_work	Pauline letter addressed to the church in Corinth together with believers in Achaia.
second-epistle-to-the-thessalonians	Second Epistle to the Thessalonians	Πρὸς Θεσσαλονικεῖς Βʹ	letter	Greek	single_work	Pauline letter addressed to the church in Thessalonica.
second-epistle-to-timothy	Second Epistle to Timothy	Πρὸς Τιμόθεον Βʹ	letter	Greek	single_work	Pastoral epistle associated with Timothy and Paul's later imprisonment setting.
sententiae-episcoporum	Sententiae Episcoporum (Sentences of the 87 Bishops)	Sententiae Episcoporum LXXXVII	other	Latin	single_work	Minutes of the Council of Carthage held September 1, 256 under Cyprian's presidency; 87 bishops from North Africa each individually voted that heretical baptism is invalid and converts must be rebaptized; the fullest extant record of North African episcopal collegial practice; each bishop's sententium preserved verbatim; opposed by Pope Stephen I and eventually overturned by later church practice accepting heretical baptism.
shepherd-of-hermas	Shepherd of Hermas	Ποιμὴν τοῦ Ἑρμᾶ	other	Greek	single_work	Vision and parable collection from the Roman church c. 100-150 emphasizing post-baptismal penance and the possibility of one second repentance.
sirach	Sirach	Σοφία Ἰησοῦ υἱοῦ Σειράχ	other	Hebrew / Greek	single_work	Wisdom work emphasizing repentance, almsgiving, and practical piety.
socrates-ecclesiastical-history	Ecclesiastical History (Socrates)	Historia Ecclesiastica	chronicle	Greek	single_work	Socrates Scholasticus's church history (c. 439) covering 305–439; independent confirmation of the Frumentius–Aksum story (HE 1.19); important Eastern source for post-Nicene developments.
stromateis	Stromateis (Miscellanies)	Στρώματα	other	Greek	collection	Clement of Alexandria's eight-book synthesis c. 198–203 AD of Christian faith and Greek philosophy; key source for apostolic tradition, rule of faith, succession, virginity, continual prayer, and philosophy as a preparatory schoolmaster for the gospel.
teaching-of-the-twelve-apostles	Didache	Διδαχὴ τῶν Δώδεκα Ἀποστόλων	other	Greek	single_work	Early church order manual dated c. 70-120, containing baptismal and eucharistic instructions.
third-epistle-of-john	Third Epistle of John	Ἰωάννου Γʹ	letter	Greek	single_work	Short Johannine epistle addressed to Gaius.
vita-constantini-eusebius	Life of Constantine	Βίος Κωνσταντίνου	chronicle	Greek	single_work	Eusebius of Caesarea's panegyrical biography of Emperor Constantine I (c. 337–339); four books covering Constantine's reign and religious policy; includes the letter of Constantius II to Ezana regarding Frumentius.
war-scroll	War Scroll	מגילת המלחמה	other	Hebrew	single_work	Qumran eschatological battle text often designated 1QM.
wisdom-of-solomon	Wisdom of Solomon	Σοφία Σαλωμῶνος	other	Greek	single_work	Jewish wisdom text from the late Second Temple period.
