event_id	event_label	event_type	event_kind	notes
martyrdom-of-alban	Martyrdom of Alban	martyrdom	simple	Execution of Alban, proto-martyr of Britain; date debated between the Severan persecution (c. 209) and the Diocletianic persecution (c. 304); earliest witness is Gildas (6th c.).
mission-of-pantaenus-to-india	Mission of Pantaenus to India	mission	simple	Pantaenus sent from Alexandria as far as India (c. 180) per Eusebius HE 5.10; reportedly found Christians using a Hebrew Gospel of Matthew left by Bartholomew; identity of 'India' debated (possibly south Arabia or actual India).
mission-of-theophilus-to-himyar	Mission of Theophilus to Himyar	mission	simple	Emperor Constantius II sends bishop Theophilus the Indian c. 354 on a diplomatic-missionary embassy to Himyar (South Arabia); Theophilus builds churches in Zafar and Aden per Philostorgius HE 3.4–6.
neronian-persecution	Neronian Persecution	persecution	simple	Nero's punishment of Christians in Rome after the Great Fire, as narrated by Tacitus.
novatian-schism	Schism of Novatian	schism	simple	Novatian, a Roman presbyter, set himself up as rival bishop of Rome c. 251 in opposition to Pope Cornelius; refused readmission of Christians who had lapsed during the Decian persecution; condemned by a Roman synod; his followers formed the Novatianist sect which spread across the empire.
origen-expulsion-from-alexandria	Origen's Expulsion from Alexandria	council	simple	Bishop Demetrius of Alexandria convened two synods c. 231–232 condemning Origen's irregular ordination in Caesarea and expelling him from the Alexandrian church; Origen relocated permanently to Caesarea where he continued teaching and writing for over twenty years.
origen-torture-under-decius	Origen's Torture under Decius	persecution	simple	During the Decian persecution c. 250–251, Origen was imprisoned and subjected to prolonged torture including chains, the rack, and threats of fire; he survived but his health was broken and he died c. 253–254 in Tyre.
pauls-conversion	Paul's Conversion	mission	simple	Encounter and reversal associated with the Damascus road and its aftermath.
pauls-martyrdom	Paul's Martyrdom	martyrdom	simple	Early Christian memory of Paul's suffering and death.
pentecost	Pentecost	liturgical	simple	Outpouring of the Holy Spirit on the gathered disciples in Jerusalem.
persecution-of-shapur-ii	Persecution of Shapur II	persecution	composite	Systematic persecution of Christians in the Sasanian Empire beginning c. 340 under Shapur II; motivated partly by Constantine's declaration of Rome as a Christian empire; Aphrahat wrote his later Demonstrations during this crisis; lasted intermittently until Shapur's death in 379.
peters-martyrdom	Peter's Martyrdom	martyrdom	simple	Early Christian memory of Peter's suffering and death.
polycarp-martyrdom	Martyrdom of Polycarp	martyrdom	simple	Polycarp bishop of Smyrna is burned and stabbed in the stadium at Smyrna c. 155-156 AD.
quartodeciman-controversy	Quartodeciman Controversy	council	simple	Dispute c. 190-195 between Victor of Rome and Asian churches led by Polycrates of Ephesus over whether Easter should be observed on 14 Nisan or the Sunday following; Irenaeus of Lyons mediated and persuaded Victor not to excommunicate the Asian churches.
resurrection-of-jesus	Resurrection of Jesus	other	simple	Earliest Christian proclamation and Gospel narratives report that Jesus was raised after his death and burial.
sack-of-jerusalem	Sack of Jerusalem	political	simple	Roman destruction of Jerusalem and its temple in 70 CE.
sardinian-exile	Sardinian Exile of Hippolytus and Pontian	persecution	simple	Bishop Pontian and the schismatic Hippolytus were both exiled to the mines of Sardinia in 235 under Emperor Maximinus Thrax; they were reconciled before death; their bodies were brought back to Rome by Pope Fabian c. 236.
sermon-on-the-mount	Sermon on the Mount	literary	simple	Representative teaching scene in Galilee.
stephens-martyrdom	Stephen's Martyrdom	martyrdom	simple	Early Jerusalem martyrdom narrated in Acts 7.
synod-of-bostra	Synod of Bostra	council	simple	Synod convened c. 244 at Bostra in Arabia to address the monarchian views of Bishop Beryllus who denied Christ's pre-existent divinity; Origen was invited to debate Beryllus and successfully persuaded him to return to orthodox teaching per Eusebius HE 6.33.
temple-cleansing	Temple Cleansing	political	simple	Jerusalem confrontation during the final phase of ministry.
triumphal-entry-into-jerusalem	Triumphal Entry into Jerusalem	political	simple	Jesus enters Jerusalem in a publicly acclaimed approach before the passion week.
