year_bucket	date_range	city_ancient	city_modern	country_modern	lat	lon	location_precision	ruling_empire_polity	ruling_subdivision	church_presence_status	church_planted_year_earliest_claim	church_planted_year_scholarly	church_planted_by	apostolic_origin_thread	key_figures	denomination_label_historic	modern_denom_mapping	council_context	evidence_notes_and_citations
0260	0260-0269	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Hymenaeus	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Recovery after Valerian persecution (257-260); Gallienus edict of toleration (260) provides relief for Palestinian churches. Evidence: Eusebius, Ecc. Hist. 7.13. Citations: https://www.newadvent.org/fathers/250107.htm
0270	0270-0279	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Hymenaeus; Zabdas	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Hymenaeus of Jerusalem attends synods concerning Paul of Samosata controversy. Evidence: Eusebius, Ecc. Hist. 7.28-7.30. Citations: https://www.newadvent.org/fathers/250107.htm
0280	0280-0289	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Zabdas; Hermon	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: The Great Peace before Diocletian allows church growth; Zabdas then Hermon serve as bishops. Evidence: Eusebius, Ecc. Hist. 7.32. Citations: https://www.newadvent.org/fathers/250107.htm
0290	0290-0299	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Hermon; Macarius I	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Hermon then Macarius I bishop; Macarius is the last bishop before Diocletian's Great Persecution (303). Evidence: Eusebius, Ecc. Hist. 7.32. Citations: https://www.newadvent.org/fathers/250107.htm
0300	0300-0309	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Macarius I	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Diocletian's Great Persecution (303-312) strikes Palestine severely; Eusebius witnesses and records Palestinian martyrdoms firsthand. Evidence: Eusebius, De Martyribus Palaestinae. Citations: https://www.newadvent.org/fathers/250108.htm
0310	0310-0319	Jerusalem	Jerusalem	Israel	31.7683	35.2137	approx_city	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Macarius I	proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Macarius I serves as persecution ends; Edict of Milan (313) brings religious freedom; church begins public recovery. Evidence: Eusebius, Ecc. Hist. 10.5. Citations: https://www.newadvent.org/fathers/250110.htm
0320	0320-0329	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Macarius I; Constantine I	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs	Nicaea I (325): affected	Summary: Macarius of Jerusalem attends Nicaea (325) and secures imperial support for construction of Church of Holy Sepulchre (~326). Evidence: Eusebius, Life of Constantine 3.25-3.40. Citations: https://www.britannica.com/event/First-Council-of-Nicaea-325
0330	0330-0339	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Macarius I; Helena (empress)	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Helena's pilgrimage (~326-328) and dedication of Church of Holy Sepulchre (335) transform Jerusalem into a major pilgrimage center. Evidence: Eusebius, Life of Constantine 3.25-3.43. Citations: https://en.wikipedia.org/wiki/Church_of_the_Holy_Sepulchre
0340	0340-0349	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Maximus of Jerusalem; Cyril of Jerusalem	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Cyril of Jerusalem begins catechetical lectures; Jerusalem grows as pilgrimage destination and theological center. Evidence: Cyril of Jerusalem, Catechetical Lectures. Citations: https://www.newadvent.org/fathers/3101.htm
0350	0350-0359	Jerusalem	Jerusalem	Israel	31.7683	35.2137	exact	Roman Empire	Syria Palaestina	attested	0030	0030	Jesus; Apostles	Jerusalem/James	Cyril of Jerusalem	Nicene proto-orthodox	Eastern Orthodox; Catholic; multiple heirs		Summary: Cyril of Jerusalem (bishop ~350) codifies catechetical practice; city firmly established as a major Christian see. Evidence: Cyril, Catechetical Lectures; Procatechesis. Citations: https://www.newadvent.org/fathers/3101.htm
0040	0040-0049	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Barnabas; Paul; Peter (visiting); Silas	Jewish Christianity / proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Disciples first called 'Christians' at Antioch (Acts 11:26); Barnabas arrives from Jerusalem, then summons Paul from Tarsus. Uncertainty: tradition of Petrine co-founding is strong but secondary. Evidence: Acts 11:19-26. Citations: https://biblehub.com/acts/11-26.htm
0050	0050-0059	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Paul; Barnabas; Peter (Gal 2:11); Silas	Jewish Christianity / proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Antioch base for Paul's 1st and 2nd missionary journeys; Peter visits causing the Antioch incident (Gal 2:11-14). Evidence: Acts 13-15; Gal 2:11-14. Citations: https://biblehub.com/acts/13.htm ; https://biblehub.com/galatians/2-11.htm
0060	0060-0069	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Paul; Silas	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Paul departs Antioch for 3rd missionary journey (Acts 18:22-23); Antioch is established sending community. Evidence: Acts 18:22-23. Citations: https://biblehub.com/acts/18-22.htm
0070	0070-0079	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Evodius; Ignatius of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Evodius serves as first named post-apostolic bishop; Ignatius of Antioch follows (~c.69-107). Evidence: Eusebius, Ecc. Hist. 3.22. Citations: https://www.newadvent.org/fathers/250103.htm
0080	0080-0089	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Ignatius of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Ignatius of Antioch leads; his letters presuppose a monarchical bishop with presbyters and deacons at multiple named cities. Evidence: Ignatius, Epistles. Citations: https://www.newadvent.org/fathers/0109.htm
0090	0090-0099	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Ignatius of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Ignatius bishops Antioch; his seven letters address Ephesus, Magnesia, Tralles, Rome, Philadelphia, Smyrna, and Polycarp. Evidence: Ignatius, Epistles; Eusebius, Ecc. Hist. 3.36. Citations: https://www.newadvent.org/fathers/0109.htm
0100	0100-0109	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Ignatius of Antioch (arrested ~107-117)	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Ignatius arrested and transported to Rome for martyrdom (~107-117); his letter corpus is primary evidence for early episcopal order. Evidence: Ignatius, Epistles; Eusebius, Ecc. Hist. 3.36. Citations: https://www.newadvent.org/fathers/0109.htm
0110	0110-0119	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Ignatius of Antioch; Heron (successor)	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Ignatius of Antioch arrested and transported to Rome for martyrdom (~107-117); Heron succeeds as bishop; letters widely circulate. Evidence: Eusebius, Ecc. Hist. 3.22; 3.36. Citations: https://www.newadvent.org/fathers/0109.htm
0120	0120-0129	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Heron; Cornelius; Eros	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Post-Ignatian episcopal succession continues; Antiochene church maintains structured life. Evidence: Eusebius, Ecc. Hist. 4.20. Citations: https://www.newadvent.org/fathers/250104.htm
0130	0130-0139	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Eros; Theophilus of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Succession continues toward Theophilus of Antioch; the church contends with Marcionite and gnostic influences. Evidence: Eusebius, Ecc. Hist. 4.20; 4.24. Citations: https://www.newadvent.org/fathers/250104.htm
0140	0140-0149	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Theophilus of Antioch; Maximin	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Theophilus of Antioch writes apologetic works (Ad Autolycum) defending monotheism and Scripture; combats Marcionite influence. Evidence: Eusebius, Ecc. Hist. 4.24. Citations: https://www.newadvent.org/fathers/0204.htm
0150	0150-0159	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Theophilus of Antioch; Maximin	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Theophilus writes Ad Autolycum (c.175-180), the first use of the word 'Trinity' in Christian literature. Evidence: Theophilus, Ad Autolycum 2.15. Citations: https://www.newadvent.org/fathers/0204.htm
0160	0160-0169	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Maximin; Serapion of Antioch (soon)	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Antioch is leading Syrian theological center; Maximin leads; Montanist controversy debated in Syrian synods c.160s-170s. Evidence: Eusebius, Ecc. Hist. 5.19. Citations: https://www.newadvent.org/fathers/250105.htm
0170	0170-0179	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Maximin; Serapion of Antioch (c.190)	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Antioch stable under Maximin; Serapion becomes bishop c.190 and writes against Marcionites and rejects Gospel of Peter. Evidence: Eusebius, Ecc. Hist. 5.19; 6.12. Citations: https://www.newadvent.org/fathers/250106.htm
0180	0180-0189	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Serapion of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Serapion of Antioch (c.190-211) bishop; writes on Easter controversy and rejects Gospel of Peter from use at Rhossus. Evidence: Eusebius, Ecc. Hist. 5.22; 6.12. Citations: https://www.newadvent.org/fathers/250106.htm
0190	0190-0199	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Serapion of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Serapion continues as bishop; involved in Easter controversy letters; rejects Gospel of Peter circulating at Rhossus. Evidence: Eusebius, Ecc. Hist. 6.12. Citations: https://www.newadvent.org/fathers/250106.htm
0200	0200-0209	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Serapion of Antioch; Asclepiades	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Serapion leads until ~211; Asclepiades succeeds; Antioch is a major Syrian see with well-established episcopal structure. Evidence: Eusebius, Ecc. Hist. 6.12. Citations: https://www.newadvent.org/fathers/250106.htm
0210	0210-0219	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Asclepiades of Antioch; Philetus	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Asclepiades succeeds Serapion (~211); Antioch remains major Eastern see during Severan era. Evidence: Eusebius, Ecc. Hist. 6.12; 6.21. Citations: https://www.newadvent.org/fathers/250106.htm
0220	0220-0229	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Philetus; Zebinus	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Philetus then Zebinus bishop; connections with Origen during his prolific Caesarean period. Evidence: Eusebius, Ecc. Hist. 6.21. Citations: https://www.newadvent.org/fathers/250106.htm
0230	0230-0239	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Zebinus; Babylas of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Babylas of Antioch (bishop c.237-253) reportedly denied Emperor Philip the Arab entrance without penance; martyred under Decius. Evidence: Eusebius, Ecc. Hist. 6.29; 6.39. Citations: https://www.newadvent.org/fathers/250106.htm
0240	0240-0249	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Babylas of Antioch	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Babylas of Antioch martyred under Decius (~250); his relics later transferred to Daphne by Gallus Caesar, provoking conflict. Evidence: Eusebius, Ecc. Hist. 6.29. Citations: https://www.newadvent.org/fathers/250106.htm
0250	0250-0259	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Fabius of Antioch; Demetrianus	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Fabius of Antioch sympathetic to lapsed Christians in post-Decian controversy; Demetrianus succeeds ~252. Evidence: Eusebius, Ecc. Hist. 6.39; 6.46. Citations: https://www.newadvent.org/fathers/250106.htm
0260	0260-0269	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Paul of Samosata; Demetrianus	proto-orthodox (contested)	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Paul of Samosata becomes bishop (~260); his dynamic monarchianism provokes multiple synods condemning him (268). Evidence: Eusebius, Ecc. Hist. 7.27-7.30. Citations: https://www.newadvent.org/fathers/250107.htm
0270	0270-0279	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Paul of Samosata; Domnus	proto-orthodox (contested)	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Paul of Samosata formally deposed by synod (268); Domnus succeeds; controversy shaped later Christological language. Evidence: Eusebius, Ecc. Hist. 7.30. Citations: https://www.newadvent.org/fathers/250107.htm
0280	0280-0289	Antioch	Antakya	Türkiye	36.20655	36.15722	exact	Roman Empire	Roman Syria	attested	0040	0040	Barnabas; Paul	Pauline/Petrine	Domnus; Timaeus	proto-orthodox	Eastern Orthodox (Antioch); Syriac Orthodox; Catholic		Summary: Domnus leads post-Paul of Samosata recovery; Antioch restored to proto-orthodox network; relative peace. Evidence: Eusebius, Ecc. Hist. 7.32. Citations: https://www.newadvent.org/fathers/250107.htm
