raw_person_token	canonical_person_slug	canonical_person_label	disambiguation_note
Bar Daisan (Bardesanes, 154-222 AD)	bar-daisan	Bar Daisan	
Bar Daisan (Bardesanes)	bar-daisan	Bar Daisan	
Bar Daisan (d.222)	bar-daisan	Bar Daisan	
Barbashmin (martyred 346)	barbashmin	Barbashmin	
Bardaisan (b.154)	bardaisan	Bardaisan	
Bardaisan (Edessa context)	bardaisan	Bardaisan	
Bardaisan of Edessa	bardaisan-of-edessa	Bardaisan of Edessa	
Bardaisan of Edessa (d.222)	bardaisan-of-edessa	Bardaisan of Edessa	
Bardaisan of Edessa (young)	bardaisan-of-edessa	Bardaisan of Edessa	
Barnabas	barnabas	Barnabas	
Barnabas (departing)	barnabas	Barnabas	
Barnabas (return visit, Acts 14:21)	barnabas	Barnabas	
Barnabas (tradition: martyr at Salamis)	barnabas	Barnabas	
Basil of Ancyra	basil-of-ancyra	Basil of Ancyra	
Basil of Ancyra (bishop ~336-360)	basil-of-ancyra	Basil of Ancyra	
Basil of Caesarea (young, b.~330)	basil-of-caesarea	Basil of Caesarea	
Basil of Caesarea (young)	basil-of-caesarea	Basil of Caesarea	
Basilides (gnostic, c.117-138)	basilides	Basilides	
Basilides (gnostic)	basilides	Basilides	
Beryllus of Bostra (becoming active)	beryllus-of-bostra	Beryllus of Bostra	
Beryllus of Bostra (bishop)	beryllus-of-bostra	Beryllus of Bostra	
Beryllus of Bostra (nearby Arabia)	beryllus-of-bostra	Beryllus of Bostra	
bishop at Council of Elvira	bishop-at-council-of-elvira	bishop at Council of Elvira	
bishop at Council of Elvira (c.306)	bishop-at-council-of-elvira	bishop at Council of Elvira	
Blandina	blandina	Blandina	
Blandina (martyred 177)	blandina	Blandina	
Caecilian	caecilian	Caecilian	
Caecilian (deacon)	caecilian	Caecilian	
Caecilianus (Catholic)	caecilianus	Caecilianus	
Caius	caius	Caius	
Callixtus I	callixtus-i	Callixtus I	
Capito	capito	Capito	
Cassianus	cassianus	Cassianus	
Catholic bishop	catholic-bishop	Catholic bishop	
Celadion	celadion	Celadion	
Cerdo (bishop, Marcion's father, trad.)	cerdo	Cerdo	
Cerdo (bishop, trad.)	cerdo	Cerdo	
Chloe's household	chloes-household	Chloe's household	
Clement	clement	Clement	
Clement (fled)	clement	Clement	
Clement (Phil 4:3)	clement	Clement	
Clement of Alexandria	clement-of-alexandria	Clement of Alexandria	
Clement of Alexandria (arriving)	clement-of-alexandria	Clement of Alexandria	
Clement of Rome	clement-of-rome	Clement of Rome	
Cleopas	cleopas	Cleopas	
Constantine I	constantine-i	Constantine I	
Constantine I (consulting)	constantine-i	Constantine I	
Constantine I (d.337 at Nicomedia)	constantine-i	Constantine I	
Constantine I (western emperor here until ~316)	constantine-i	Constantine I	
Constantius Chlorus (emperor in Britain)	constantius-chlorus	Constantius Chlorus	
Constantius I (stationed here)	constantius-i	Constantius I	
Constantius I (western emperor here)	constantius-i	Constantius I	
Cornelius	cornelius	Cornelius	
Crispus	crispus	Crispus	
Cyprian (correspondence)	cyprian	Cyprian	
Cyprian legacy	cyprian-legacy	Cyprian legacy	
Cyprian of Carthage	cyprian-of-carthage	Cyprian of Carthage	
Cyprian of Carthage (bishop 248-258)	cyprian-of-carthage	Cyprian of Carthage	
Cyprian of Carthage (martyred 258)	cyprian-of-carthage	Cyprian of Carthage	
Cyril	cyril	Cyril	
Cyril (bishop)	cyril	Cyril	
Cyril of Jerusalem	cyril-of-jerusalem	Cyril of Jerusalem	
Damaris	damaris	Damaris	
Decian persecution response	decian-persecution-response	Decian persecution response	
Demetrianus	demetrianus	Demetrianus	
Demetrius	demetrius	Demetrius	
desposynoi	desposynoi	desposynoi	
desposynoi (Jesus's relatives)	desposynoi	desposynoi	
Dionysius	dionysius	Dionysius	
Dionysius of Alexandria	dionysius-of-alexandria	Dionysius of Alexandria	
Dionysius of Alexandria (the Great)	dionysius-of-alexandria	Dionysius of Alexandria	
Dionysius of Corinth	dionysius-of-corinth	Dionysius of Corinth	
Dionysius of Corinth (c.170)	dionysius-of-corinth	Dionysius of Corinth	
Dionysius of Rome	dionysius-of-rome	Dionysius of Rome	
Dionysius the Areopagite	dionysius-the-areopagite	Dionysius the Areopagite	
Dionysius the Areopagite (trad.)	dionysius-the-areopagite	Dionysius the Areopagite	
Dius	dius	Dius	
Domnus	domnus	Domnus	
Donatist bishop (rival)	donatist-bishop	Donatist bishop	
Donatist rival bishop	donatist-rival-bishop	Donatist rival bishop	
Donatus (predecessor)	donatus	Donatus	
Donatus of Carthage	donatus-of-carthage	Donatus of Carthage	
Donatus of Carthage (exiled 347)	donatus-of-carthage	Donatus of Carthage	
Donatus of Casae Nigrae	donatus-of-casae-nigrae	Donatus of Casae Nigrae	
Eborius (bishop at Arles 314)	eborius	Eborius	
Eborius (Bishop of York)	eborius	Eborius	
Eleutherus	eleutherus	Eleutherus	
Epaphras	epaphras	Epaphras	
Epaphras (Col 4:13)	epaphras	Epaphras	
Epaphroditus	epaphroditus	Epaphroditus	
Ephesian elders (summoned here)	ephesian-elders	Ephesian elders	
Ephrem the Syrian	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (active in Nisibis school)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (active)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (arrives ~363)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (born ~306 AD)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (in Nisibis/later Edessa)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (Nisibis/Edessa)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (young, b. c.306)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (young, studying here)	ephrem-the-syrian	Ephrem the Syrian	
Ephrem the Syrian (young)	ephrem-the-syrian	Ephrem the Syrian	
Epiphanius of Salamis (young, born c.310-320)	epiphanius-of-salamis	Epiphanius of Salamis	
Eros	eros	Eros	
Eucharius (bishop, trad.)	eucharius	Eucharius	
Eulalius	eulalius	Eulalius	
Eumenes	eumenes	Eumenes	
Eunice	eunice	Eunice	
Eusebius	eusebius	Eusebius	
Eusebius (oration)	eusebius	Eusebius	
Eusebius (young student)	eusebius	Eusebius	
Eusebius of Caesarea	eusebius-of-caesarea	Eusebius of Caesarea	
Eusebius of Caesarea (d. 339)	eusebius-of-caesarea	Eusebius of Caesarea	
Eusebius of Nicomedia	eusebius-of-nicomedia	Eusebius of Nicomedia	
Eusebius of Nicomedia (d.341)	eusebius-of-nicomedia	Eusebius of Nicomedia	
Eusebius of Nicomedia (then)	eusebius-of-nicomedia	Eusebius of Nicomedia	
Eusebius of Nicomedia (young)	eusebius-of-nicomedia	Eusebius of Nicomedia	
Eustathius (deposed ~330)	eustathius	Eustathius	
Eustathius of Antioch	eustathius-of-antioch	Eustathius of Antioch	
Eustathius of Sebaste (bishop, c.300-379 AD)	eustathius-of-sebaste	Eustathius of Sebaste	
Eustathius of Sebaste (bishop)	eustathius-of-sebaste	Eustathius of Sebaste	
Eutychian	eutychian	Eutychian	
Evaristus	evaristus	Evaristus	
Evodius	evodius	Evodius	
Fabian	fabian	Fabian	
Fabius of Antioch	fabius-of-antioch	Fabius of Antioch	
factions	factions	factions	
Felicitas (d. 203)	felicitas	Felicitas	
Felix (bishop)	felix	Felix	
Felix I	felix-i	Felix I	
Felix of Aptunga	felix-of-aptunga	Felix of Aptunga	
Firmilian (young)	firmilian	Firmilian	
Firmilian of Caesarea	firmilian-of-caesarea	Firmilian of Caesarea	
Firmilian of Caesarea (d. ~268)	firmilian-of-caesarea	Firmilian of Caesarea	
first bishop (sent from Constantinople)	first-bishop	first bishop	
first bishop of Iberia	first-bishop-of-iberia	first bishop of Iberia	
Flacillus	flacillus	Flacillus	
Fortunatianus of Aquileia (bishop from ~343)	fortunatianus-of-aquileia	Fortunatianus of Aquileia	
Fortunatianus of Aquileia (bishop)	fortunatianus-of-aquileia	Fortunatianus of Aquileia	
Fortunatus (1 Cor 16:17 trad.)	fortunatus	Fortunatus	
Fructuosus of Tarragona (bishop, martyred 259)	fructuosus-of-tarragona	Fructuosus of Tarragona	
Frumentius	frumentius	Frumentius	
Frumentius (bishop)	frumentius	Frumentius	
Frumentius (young)	frumentius	Frumentius	
Gaianus	gaianus	Gaianus	
Gaius	gaius	Gaius	
Gaius of Derbe	gaius-of-derbe	Gaius of Derbe	
Gelasius	gelasius	Gelasius	
Gratus	gratus	Gratus	
Gregory of Nazianzus (born c.329 AD)	gregory-of-nazianzus	Gregory of Nazianzus	
Gregory of Nazianzus (young student)	gregory-of-nazianzus	Gregory of Nazianzus	
Gregory of Nazianzus (youth)	gregory-of-nazianzus	Gregory of Nazianzus	
Gregory Thaumaturgus	gregory-thaumaturgus	Gregory Thaumaturgus	
Gregory Thaumaturgus (bishop, d.~270)	gregory-thaumaturgus	Gregory Thaumaturgus	
Gregory Thaumaturgus (bishop)	gregory-thaumaturgus	Gregory Thaumaturgus	
Gregory Thaumaturgus (student of Origen)	gregory-thaumaturgus	Gregory Thaumaturgus	
Gregory Thaumaturgus (young)	gregory-thaumaturgus	Gregory Thaumaturgus	
Gregory the Elder (bishop from ~328 AD, after conversion)	gregory-the-elder	Gregory the Elder	
Gregory the Elder (bishop; attends Nicaea)	gregory-the-elder	Gregory the Elder	
Gregory the Elder (bishop)	gregory-the-elder	Gregory the Elder	
Gregory the Illuminator (born c.257)	gregory-the-illuminator	Gregory the Illuminator	
Gregory the Illuminator (Catholicos)	gregory-the-illuminator	Gregory the Illuminator	
Gregory the Illuminator (d.~328-331)	gregory-the-illuminator	Gregory the Illuminator	
Gregory the Illuminator (imprisoned ~287-298)	gregory-the-illuminator	Gregory the Illuminator	
Gregory the Illuminator (imprisoned)	gregory-the-illuminator	Gregory the Illuminator	
Gregory the Illuminator (released)	gregory-the-illuminator	Gregory the Illuminator	
Helena (empress)	helena	Helena	
Heraclas	heraclas	Heraclas	
Heracleidios (trad. first bishop)	heracleidios	Heracleidios	
Hermagoras (trad., sent by Mark)	hermagoras	Hermagoras	
Hermagoras (trad.)	hermagoras	Hermagoras	
Hermas	hermas	Hermas	
Hermas (author)	hermas	Hermas	
Hermon	hermon	Hermon	
Heron	heron	Heron	
Heron (successor)	heron	Heron	
Hippolytus	hippolytus	Hippolytus	
Hippolytus (rival bishop)	hippolytus	Hippolytus	
Holy Family (Flight to Egypt trad.)	holy-family	Holy Family	
Hosius of Corduba	hosius-of-corduba	Hosius of Corduba	
Hosius of Corduba (advisor to Constantine)	hosius-of-corduba	Hosius of Corduba	
Hosius of Corduba (bishop)	hosius-of-corduba	Hosius of Corduba	
Hosius of Corduba (prominent in Spain)	hosius-of-corduba	Hosius of Corduba	
Hosius of Corduba (young)	hosius-of-corduba	Hosius of Corduba	
Husik I	husik-i	Husik I	
Hyginus	hyginus	Hyginus	
Hymenaeus	hymenaeus	Hymenaeus	
Ignatius (passes through)	ignatius	Ignatius	
Ignatius of Antioch	ignatius-of-antioch	Ignatius of Antioch	
Ignatius of Antioch (arrested ~107-117)	ignatius-of-antioch	Ignatius of Antioch	
Irenaeus	irenaeus	Irenaeus	
Irenaeus (appeals to)	irenaeus	Irenaeus	
Irenaeus (arriving from Asia)	irenaeus	Irenaeus	
Irenaeus (visiting from Lyon)	irenaeus	Irenaeus	
Irenaeus (young)	irenaeus	Irenaeus	
Irenaeus of Lyon	irenaeus-of-lyon	Irenaeus of Lyon	
Irenaeus of Lyon (bishop c.177-202)	irenaeus-of-lyon	Irenaeus of Lyon	
Irenaeus of Lyon (d. c.202)	irenaeus-of-lyon	Irenaeus of Lyon	
Irenaeus of Sirmium (bishop)	irenaeus-of-sirmium	Irenaeus of Sirmium	
Jacob of Nisibis	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (bishop c.300-338)	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (bishop, ~300-338 AD)	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (bishop, attends Nicaea)	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (bishop, d.338)	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (bishop)	jacob-of-nisibis	Jacob of Nisibis	
Jacob of Nisibis (d.338)	jacob-of-nisibis	Jacob of Nisibis	
James	james	James	
James the Just	james-the-just	James the Just	
Januarius (Gennaro) bishop of Benevento (martyred 305 AD near Naples)	januarius-bishop-of-benevento	Januarius bishop of Benevento	
Jason	jason	Jason	
Jerusalem refugee community	jerusalem-refugee-community	Jerusalem refugee community	
Jesus	jesus	Jesus	
Jesus (risen)	jesus	Jesus	
John	john	John	
John (trad. arriving)	john	John	
John (trad., resident Ephesus)	john	John	
John II	john-ii	John II	
John Mark	john-mark	John Mark	
John Mark (departs)	john-mark	John Mark	
John of Patmos (addressing)	john-of-patmos	John of Patmos	
John the Apostle	john-the-apostle	John the Apostle	
John the Apostle (d. c.100, trad.)	john-the-apostle	John the Apostle	
John the Apostle (exiled)	john-the-apostle	John the Apostle	
John the Apostle (trad.)	john-the-apostle	John the Apostle	
Joseph	joseph	Joseph	
Joseph of Tiberias	joseph-of-tiberias	Joseph of Tiberias	
Joseph of Tiberias (builds churches)	joseph-of-tiberias	Joseph of Tiberias	
Joseph of Tiberias (Comes, builds churches ~335 AD)	joseph-of-tiberias	Joseph of Tiberias	
Julian	julian	Julian	
Julius I	julius-i	Julius I	
Julius I (d.352)	julius-i	Julius I	
Justin Martyr	justin-martyr	Justin Martyr	
Justin Martyr (arriving)	justin-martyr	Justin Martyr	
Justin Martyr (born here c.100 AD)	justin-martyr	Justin Martyr	
Justin Martyr (d. ~165)	justin-martyr	Justin Martyr	
Justin Martyr (from Neapolis)	justin-martyr	Justin Martyr	
Justin Martyr (young, born ~100)	justin-martyr	Justin Martyr	
Justin Martyr (young; then departs)	justin-martyr	Justin Martyr	
Justin Martyr (young)	justin-martyr	Justin Martyr	
Justus I	justus-i	Justus I	
Kedron	kedron	Kedron	
King Abgar V (trad.)	king-abgar-v	King Abgar V	
King Ezana	king-ezana	King Ezana	
King Mirian III	king-mirian-iii	King Mirian III	
King Tiridates III	king-tiridates-iii	King Tiridates III	
Knayi Thoma (trad.)	knayi-thoma	Knayi Thoma	
Lazarus	lazarus	Lazarus	
Leontius of Antioch	leontius-of-antioch	Leontius of Antioch	
Levi/Matthew	levi-matthew	Levi/Matthew	
Liberius	liberius	Liberius	
Linus	linus	Linus	
Lois	lois	Lois	
Lucian of Antioch	lucian-of-antioch	Lucian of Antioch	
Lucius I	lucius-i	Lucius I	
Lucius of Cyrene	lucius-of-cyrene	Lucius of Cyrene	
Lucius of Cyrene (Acts 13:1)	lucius-of-cyrene	Lucius of Cyrene	
Luke	luke	Luke	
Lydia	lydia	Lydia	
Lydia of Thyatira (converted at Philippi, Acts 16:14)	lydia-of-thyatira	Lydia of Thyatira	
Macarius I	macarius-i	Macarius I	
Macedonius	macedonius	Macedonius	
Marcellinus	marcellinus	Marcellinus	
Marcellinus (d.304)	marcellinus	Marcellinus	
Marcellus (restored briefly)	marcellus	Marcellus	
Marcellus I	marcellus-i	Marcellus I	
Marcellus of Ancyra	marcellus-of-ancyra	Marcellus of Ancyra	
Marcellus of Ancyra (bishop from ~314)	marcellus-of-ancyra	Marcellus of Ancyra	
Marcellus of Ancyra (exiled ~336)	marcellus-of-ancyra	Marcellus of Ancyra	
Marcellus of Merida (lapsed bishop, Decian era)	marcellus-of-merida	Marcellus of Merida	
Marcion (expelled ~144)	marcion	Marcion	
Marcion of Arles (bishop)	marcion-of-arles	Marcion of Arles	
Marcion of Sinope (young)	marcion-of-sinope	Marcion of Sinope	
Marcionite community (rival)	marcionite-community	Marcionite community	
Marcus I	marcus-i	Marcus I	
Marinus (bishop, martyred c.304)	marinus	Marinus	
Marinus (martyred)	marinus	Marinus	
Mark	mark	Mark	
Mark (first Gentile bishop)	mark	Mark	
Mark the Evangelist (trad.)	mark-the-evangelist	Mark the Evangelist	
Martha	martha	Martha	
Mary	mary	Mary	
Maternus	maternus	Maternus	
Maternus (bishop)	maternus	Maternus	
Maternus (bishop) or successor	maternus-or-successor	Maternus or successor	
Matthias	matthias	Matthias	
Maximilla	maximilla	Maximilla	
Maximilla (active)	maximilla	Maximilla	
Maximin	maximin	Maximin	
Maximus I	maximus-i	Maximus I	
Maximus of Alexandria	maximus-of-alexandria	Maximus of Alexandria	
Maximus of Jerusalem	maximus-of-jerusalem	Maximus of Jerusalem	
Mazabanes	mazabanes	Mazabanes	
Meletius of Lycopolis	meletius-of-lycopolis	Meletius of Lycopolis	
Melito of Sardis	melito-of-sardis	Melito of Sardis	
Melito of Sardis (d.~190)	melito-of-sardis	Melito of Sardis	
Melito of Sardis (young)	melito-of-sardis	Melito of Sardis	
Mensurius	mensurius	Mensurius	
Merocles (bishop)	merocles	Merocles	
Meropius (merchant)	meropius	Meropius	
Metrophanes (bishop c.306-314)	metrophanes	Metrophanes	
Metrophanes (later)	metrophanes	Metrophanes	
Metrophanes of Byzantium	metrophanes-of-byzantium	Metrophanes of Byzantium	
Miltiades	miltiades	Miltiades	
Montanist leaders	montanist-leaders	Montanist leaders	
Montanist leaders (after founders die)	montanist-leaders	Montanist leaders	
Montanus	montanus	Montanus	
multiple bishops from across Spain	multiple-bishops-from-across-spain	multiple bishops from across Spain	
multiple Catholicoi martyred	multiple-catholicoi-martyred	multiple Catholicoi martyred	
Narcissus of Jerusalem	narcissus-of-jerusalem	Narcissus of Jerusalem	
Nicholas of Myra (bishop, born c.270 AD)	nicholas-of-myra	Nicholas of Myra	
Nicholas of Myra (bishop, d. c.343)	nicholas-of-myra	Nicholas of Myra	
Nicholas of Myra (bishop; attends Nicaea)	nicholas-of-myra	Nicholas of Myra	
Nicholas of Myra (bishop; imprisoned during Diocletian persecution)	nicholas-of-myra	Nicholas of Myra	
Nicholas of Myra (bishop)	nicholas-of-myra	Nicholas of Myra	
Nino of Cappadocia	nino-of-cappadocia	Nino of Cappadocia	
Nino of Cappadocia (d.c.338)	nino-of-cappadocia	Nino of Cappadocia	
Nino of Cappadocia (young slave girl)	nino-of-cappadocia	Nino of Cappadocia	
Novatian	novatian	Novatian	
Novatian (schismatic)	novatian	Novatian	
Nymphas	nymphas	Nymphas	
Onesimus	onesimus	Onesimus	
Onesimus (bishop, trad.)	onesimus	Onesimus	
Origen	origen	Origen	
Origen (d. ~254)	origen	Origen	
Origen (dies at Tyre ~254)	origen	Origen	
Origen (expelled ~232)	origen	Origen	
Origen (heads school at ~18)	origen	Origen	
Origen (visiting c.244)	origen	Origen	
Origen (visiting)	origen	Origen	
Origen (young student)	origen	Origen	
Ossius of Cordoba	ossius-of-cordoba	Ossius of Cordoba	
Pachomius (abbot, d.348)	pachomius	Pachomius	
Pachomius (abbot)	pachomius	Pachomius	
Pachomius (born ~292 AD)	pachomius	Pachomius	
Pachomius (converts c.313 AD)	pachomius	Pachomius	
Pachomius (founds Tabennisi monastery c.318-320 AD)	pachomius	Pachomius	
Pachomius (young)	pachomius	Pachomius	
Palut	palut	Palut	
Palut (bishop c.200)	palut	Palut	
Palut (bishop)	palut	Palut	
Palut (trad.)	palut	Palut	
Pamphilus (later)	pamphilus	Pamphilus	
Pamphilus of Caesarea	pamphilus-of-caesarea	Pamphilus of Caesarea	
Pantaenus	pantaenus	Pantaenus	
Pantaenus (d.~190)	pantaenus	Pantaenus	
Pantaenus (heads school c.180)	pantaenus	Pantaenus	
Pantaenus (later catechist)	pantaenus	Pantaenus	
Papa bar Aggai (Catholicos, active from ~310)	papa-bar-aggai	Papa bar Aggai	
Papa bar Aggai (Catholicos, c.310-329)	papa-bar-aggai	Papa bar Aggai	
Papa bar Aggai (Catholicos, d.329)	papa-bar-aggai	Papa bar Aggai	
Papa bar Aggai (Catholicos)	papa-bar-aggai	Papa bar Aggai	
Papa bar Gaggai	papa-bar-gaggai	Papa bar Gaggai	
Papa bar Gaggai (bishop c.280-329)	papa-bar-gaggai	Papa bar Gaggai	
Papa bar Gaggai (c.280-329)	papa-bar-gaggai	Papa bar Gaggai	
Papa bar Gaggai (later)	papa-bar-gaggai	Papa bar Gaggai	
Papias (Hierapolis)	papias	Papias	
Papias of Hierapolis	papias-of-hierapolis	Papias of Hierapolis	
Papias of Hierapolis (d.~130)	papias-of-hierapolis	Papias of Hierapolis	
Papias of Hierapolis (young)	papias-of-hierapolis	Papias of Hierapolis	
Paul	paul	Paul	
Paul (3-day stop)	paul	Paul	
Paul (arrived ~60-62)	paul	Paul	
Paul (conversion/early activity)	paul	Paul	
Paul (imprisoned ~58-60 AD)	paul	Paul	
Paul (one night)	paul	Paul	
Paul (passing through)	paul	Paul	
Paul (trad.)	paul	Paul	
Paul (transit stop)	paul	Paul	
Paul (visiting)	paul	Paul	
Paul of Cirta (traditores bishop)	paul-of-cirta	Paul of Cirta	
Paul of Constantinople	paul-of-constantinople	Paul of Constantinople	
Paul of Constantinople (martyred 351)	paul-of-constantinople	Paul of Constantinople	
Paul of Samosata	paul-of-samosata	Paul of Samosata	
Paul of Samosata (bishop of Antioch, from here)	paul-of-samosata	Paul of Samosata	
Paul of Samosata (bishop of Antioch, Zenobia's protege)	paul-of-samosata	Paul of Samosata	
Paul of Samosata (deposed c.268)	paul-of-samosata	Paul of Samosata	
Paul of Samosata (from here)	paul-of-samosata	Paul of Samosata	
Paul of Samosata (young)	paul-of-samosata	Paul of Samosata	
Paul of Tarsus	paul-of-tarsus	Paul of Tarsus	
Paul of Tarsus (possibly in this region)	paul-of-tarsus	Paul of Tarsus	
Paulinus	paulinus	Paulinus	
Paulinus of Tyre	paulinus-of-tyre	Paulinus of Tyre	
Perpetua (d. 203)	perpetua	Perpetua	
Peter	peter	Peter	
Peter (Gal 2:11)	peter	Peter	
Peter (trad.)	peter	Peter	
Peter (visiting)	peter	Peter	
Peter of Alexandria	peter-of-alexandria	Peter of Alexandria	
Peter of Alexandria (young)	peter-of-alexandria	Peter of Alexandria	
Philemon	philemon	Philemon	
Philetus	philetus	Philetus	
Philip	philip	Philip	
Philip (trad., d.~80)	philip	Philip	
Philip (trad.)	philip	Philip	
Philip the Evangelist	philip-the-evangelist	Philip the Evangelist	
Philippus of Gortyna (bishop active)	philippus-of-gortyna	Philippus of Gortyna	
Philippus of Gortyna (bishop c.160-180)	philippus-of-gortyna	Philippus of Gortyna	
Philippus of Gortyna (bishop)	philippus-of-gortyna	Philippus of Gortyna	
Philogonius	philogonius	Philogonius	
Phoebe	phoebe	Phoebe	
Pius I	pius-i	Pius I	
Pliny the Younger (governor, attests Bithynian Christians)	pliny-the-younger	Pliny the Younger	
Pliny the Younger (governor)	pliny-the-younger	Pliny the Younger	
Polycarp (martyred ~155/156)	polycarp	Polycarp	
Polycarp (visiting ~155)	polycarp	Polycarp	
Polycarp (visiting)	polycarp	Polycarp	
Polycarp (wrote c.110-115)	polycarp	Polycarp	
Polycarp (young)	polycarp	Polycarp	
Polycarp of Smyrna	polycarp-of-smyrna	Polycarp of Smyrna	
Polycarp of Smyrna (martyred ~155/156)	polycarp-of-smyrna	Polycarp of Smyrna	
Polycrates (c.180-196)	polycrates	Polycrates	
Polycrates of Ephesus	polycrates-of-ephesus	Polycrates of Ephesus	
Pontian	pontian	Pontian	
Pothinus	pothinus	Pothinus	
Pothinus (martyred 177)	pothinus	Pothinus	
Pothinus (young; arriving bishop)	pothinus	Pothinus	
Primus	primus	Primus	
Priscilla	priscilla	Priscilla	
Priscilla (expelled ~49)	priscilla	Priscilla	
Priscilla (returned)	priscilla	Priscilla	
Privatus	privatus	Privatus	
Probus (bishop)	probus	Probus	
Publius	publius	Publius	
Publius (father healed)	publius	Publius	
Publius (first bishop, trad.)	publius	Publius	
Publius (trad.) and unnamed bishops	publius-and-unnamed-bishops	Publius and unnamed bishops	
Quadratus (apologist, ~124)	quadratus	Quadratus	
Quadratus (apologist, c.124)	quadratus	Quadratus	
Quadratus (apologist)	quadratus	Quadratus	
Quadratus (bishop c.170s?)	quadratus	Quadratus	
Restitutus	restitutus	Restitutus	
